TEAM,NO,PLAYER,PO,G,GS,MIN,MINPG,PTS,PPG,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OR,DR,TR,RPG,AS,APG,TO,ST,BS,BSR,F,FD,EFF
香川,11,チェハーレス・タプスコット,SF,59,57,1729:50:00,29:19:00,1149,19.5,419,929,45.10%,59,191,30.90%,252,352,71.60%,180,366,546,9.3,191,3.2,127,105,43,44,147,308,22
茨城,7,リック・リカート,C,58,38,1594:21:00,27:29:00,1081,18.6,452,889,50.80%,26,78,33.30%,151,206,73.30%,231,521,752,13,131,2.3,87,33,16,31,105,232,25
FE名古屋,21,ソロモン アラビ,C,58,57,1789:10:00,30:50:00,1051,18.1,419,787,53.20%,2,4,50.00%,211,277,76.20%,234,525,759,13.1,78,1.3,114,38,79,34,135,263,25
東京EX,13,ライアン　ステファン,C,56,38,1491:17:00,26:37:00,1002,17.9,373,772,48.30%,62,207,30.00%,194,274,70.80%,154,450,604,10.8,79,1.4,102,42,49,35,119,223,21
青森,33,カイル・バローン,PF/C,55,54,1293:52:00,23:31:00,983,17.9,384,777,49.40%,27,102,26.50%,188,294,63.90%,117,475,592,10.8,76,1.4,147,33,63,34,102,277,20
青森,2,アラン・ウィギンス,PF/C,60,6,1444:16:00,24:04:00,938,15.6,368,801,45.90%,46,143,32.20%,156,264,59.10%,162,390,552,9.2,75,1.3,154,26,36,42,141,284,16
群馬,1,トーマス　ケネディ,SF/PF,60,0,1218:04:00,20:18:00,869,14.5,295,709,41.60%,90,263,34.20%,189,230,82.20%,52,202,254,4.2,55,0.9,67,40,15,23,144,170,12
西宮,9,谷 直樹,SF,60,60,1870:04:00,31:10:00,801,13.4,299,748,40.00%,93,293,31.70%,110,137,80.30%,37,177,214,3.6,101,1.7,102,63,26,25,115,141,10
群馬,31,アブドゥーラ クウソー,PF/C,60,60,1365:17:00,22:45:00,780,13,282,548,51.50%,0,3,0.00%,216,318,67.90%,184,337,521,8.7,87,1.5,129,51,109,21,165,315,18
福島,0,セドリック　ボーズマン,SF,60,0,1272:54:00,21:12:00,779,13,280,624,44.90%,37,136,27.20%,182,249,73.10%,48,233,281,4.7,169,2.8,80,72,18,24,121,209,14
FE名古屋,22,福澤 晃平,PG,60,53,1612:44:00,26:52:00,775,12.9,283,680,41.60%,142,379,37.50%,67,86,77.90%,18,113,131,2.2,84,1.4,66,58,11,25,133,81,10
広島,21,コナー ラマート,SF/PF,60,55,1468:44:00,0:28,757,12.6,291,582,50.00%,51,134,38.10%,124,163,76.10%,149,360,509,8.5,68,1.1,57,44,77,29,146,158,18
奈良,32,アンディー　オガデ,PF,59,27,1217:30:00,20:38:00,749,12.7,315,603,52.20%,19,63,30.20%,100,144,69.40%,127,271,398,6.7,52,0.9,89,36,44,29,145,168,15
島根,0,ジョシュ・デービス,PF,57,1,1308:57:00,22:57:00,744,13.1,301,497,60.60%,0,1,0.00%,142,263,54.00%,209,433,642,11.3,102,1.8,105,64,77,24,119,256,21
東京Z,7,渡邊 翔太,PG/SG,60,46,1896:13:00,31:36:00,731,12.2,261,679,38.40%,69,220,31.40%,140,191,73.30%,38,152,190,3.2,184,3.1,128,47,18,35,166,236,10
熊本,2,古野　拓海,PG,60,60,2015:06:00,33:35:00,731,12.2,236,572,41.30%,99,286,34.60%,160,197,81.20%,73,195,268,4.5,303,5.1,172,129,13,20,180,250,15
熊本,22,レジナルド・ウォーレン,F/C,53,10,1265:55:00,23:53:00,727,13.7,275,622,44.20%,41,139,29.50%,136,217,62.70%,132,318,450,8.5,93,1.8,92,43,35,29,116,165,16
愛媛,41,クレイグウィリアムスジュニア,C,55,31,1144:18:00,20:48:00,724,13.2,264,578,45.70%,93,256,36.30%,103,132,78.00%,107,338,445,8.1,88,1.6,79,29,22,15,136,135,16
東京Z,5,ディオン・ジョーンズ,SF/PF,41,15,1099:43:00,26:49:00,722,17.6,250,581,43.00%,65,201,32.30%,157,208,75.50%,69,309,378,9.2,36,0.9,59,31,24,47,95,178,18
広島,12,ダニエル ディロン,PG/SG,60,2,1099:09:00,18:19:00,720,12,264,507,52.10%,31,88,35.20%,161,226,71.20%,63,176,239,4,162,2.7,91,52,21,20,104,230,13
東京EX,18,飛田 浩明,SG/SF,60,59,1787:12:00,29:47:00,710,11.8,240,598,40.10%,106,276,38.40%,124,167,74.30%,47,188,235,3.9,60,1,56,41,18,18,118,133,10
岩手,7,ニカエス・ドークス,PF/C,53,21,1446:07:00,27:17:00,709,13.4,289,601,48.10%,7,23,30.40%,124,179,69.30%,158,424,582,11,47,0.9,132,26,51,37,153,160,17
福島,11,ナイジェル　スパイクス,PF/C,56,56,1280:53:00,22:52:00,705,12.6,269,533,50.50%,3,13,23.10%,164,295,55.60%,175,380,555,9.9,63,1.1,157,76,102,36,152,275,17
愛媛,33,俊野　達彦,SG,52,52,1691:56:00,8:32,704,13.5,258,689,37.40%,71,254,28.00%,117,151,77.50%,48,187,235,4.5,182,3.5,137,83,16,32,120,159,12
福島,21,菅野　翔太,SF,60,60,1922:13:00,32:02:00,703,11.7,233,615,37.90%,153,427,35.80%,84,107,78.50%,17,123,140,2.3,85,1.4,53,39,19,12,143,88,9
西宮,15,ラリー・オーウェンス,SF/PF,60,9,1315:22:00,21:55:00,701,11.7,267,634,42.10%,52,164,31.70%,115,152,75.70%,149,317,466,7.8,129,2.2,113,55,44,36,152,160,15
鹿児島,39,中園　隆一郎,PF,60,2,1383:35:00,23:03:00,693,11.6,258,685,37.70%,95,251,37.80%,82,98,83.70%,48,152,200,3.3,39,0.7,100,35,7,34,80,93,7
東京EX,3,ルーク　エヴァンス,PF,56,22,1278:41:00,22:50,690,12.3,265,631,42.00%,36,129,27.90%,124,248,50.00%,125,285,410,7.3,89,1.6,101,44,41,40,146,221,12
島根,50,ウェイン・マーシャル,C,59,59,1195:33:00,20:15:00,684,11.6,263,497,52.90%,24,76,31.60%,134,206,65.00%,104,315,419,7.1,86,1.5,88,55,83,27,170,187,16
熊本,20,ジョエル・ジェームス,F/C,59,50,1384:54:00,23:28,669,11.3,274,548,50.00%,1,4,25.00%,120,198,60.60%,139,371,510,8.6,49,0.8,105,29,37,35,152,182,14
東京EX,8,西山 達哉,PG/SG,57,51,1563:56:00,3:26,668,11.7,228,575,39.70%,115,309,37.20%,97,130,74.60%,26,100,126,2.2,232,4.1,165,71,8,29,109,181,10
熊本,1,中西　良太,PF/C,54,54,1128:37:00,20:54:00,668,12.4,250,450,55.60%,0,3,0.00%,168,244,68.90%,100,185,285,5.3,47,0.9,99,19,32,33,151,224,13
FE名古屋,25,ロドニー カーニー,SF,42,1,933:36:00,22:13:00,665,15.8,247,595,41.50%,97,322,30.10%,74,105,70.50%,30,200,230,5.5,51,1.2,62,30,46,15,68,121,14
愛媛,13,俊野　佳彦,SF,58,58,1861:16:00,8:05,660,11.4,241,625,38.60%,61,204,29.90%,117,147,79.60%,48,135,183,3.2,110,1.9,94,42,5,23,128,126,8
茨城,10,アンドリュー・ランダル,SF/PF,31,11,885:07:00,4:33,650,21,225,487,46.20%,24,81,29.60%,176,216,81.50%,68,212,280,9,91,2.9,79,35,11,20,54,207,22
鹿児島,14,チュクディエベレ　マドゥアバム,C,51,37,1394:24:00,27:20:00,626,12.3,246,516,47.70%,7,41,17.10%,127,221,57.50%,122,341,463,9.1,30,0.6,94,23,124,21,116,220,16
青森,8,下山 大地,SG,56,56,1874:56:00,33:28:00,613,10.9,225,560,40.20%,125,337,37.10%,38,63,60.30%,24,138,162,2.9,49,0.9,53,34,3,14,113,76,8
群馬,0,小淵　雅,PG/SG,58,55,1700:41:00,5:19,609,10.5,234,567,41.30%,56,169,33.10%,85,101,84.20%,61,188,249,4.3,142,2.4,72,86,10,14,104,109,12
岩手,24,ドナルド　ローソン,PF/C,57,39,1648:42:00,28:55:00,608,10.7,245,547,44.80%,0,3,0.00%,118,197,59.90%,214,344,558,9.8,44,0.8,121,64,45,52,150,187,14
愛媛,22,ジョシュア　クロフォード,C,59,25,1140:22:00,19:19:00,593,10.1,232,487,47.60%,17,62,27.40%,112,166,67.50%,153,304,457,7.7,59,1,113,24,45,32,140,178,13
山形,9,佐藤　正成,SG,60,60,1767:43:00,29:27:00,591,9.9,225,575,39.10%,83,255,32.50%,58,85,68.20%,46,89,135,2.3,62,1,33,37,4,27,78,93,7
岩手,68,永田　晃司,G,60,48,1509:46:00,25:09:00,589,9.8,201,513,39.20%,84,235,35.70%,103,126,81.70%,55,148,203,3.4,129,2.2,118,76,12,11,159,114,9
奈良,25,平尾 充庸,PG,59,55,1701:09:00,28:49:00,581,9.8,226,528,42.80%,82,231,35.50%,47,63,74.60%,42,104,146,2.5,182,3.1,98,62,1,18,130,90,9
山形,15,ターバー　セス　アンドリュー,SF,60,1,1306:07:00,21:46:00,580,9.7,241,638,37.80%,38,147,25.90%,60,120,50.00%,84,234,318,5.3,73,1.2,82,64,16,35,121,139,9
茨城,27,眞庭　城聖,PF,59,40,1443:17:00,24:27:00,577,9.8,212,509,41.70%,71,193,36.80%,82,101,81.20%,43,137,180,3.1,104,1.8,100,28,17,24,121,126,8
奈良,30,テレンス・ウッドベリー,SF,32,2,770:02:00,0:03,566,17.7,189,385,49.10%,45,108,41.70%,143,175,81.70%,24,143,167,5.2,86,2.7,75,37,10,20,77,152,18
山形,10,マーカリ・サンダース・フリソン,PF,45,39,1032:43:00,22:56:00,565,12.6,240,479,50.10%,1,6,16.70%,84,147,57.10%,126,344,470,10.4,61,1.4,67,22,25,18,143,137,17
島根,5,山本　エドワード,PG,60,60,1588:34:00,2:28,564,9.4,203,457,44.40%,105,232,45.30%,53,61,86.90%,28,142,170,2.8,161,2.7,96,60,0,10,93,85,10
鹿児島,2,タイメル　マーフィー,SF,49,5,894:51:00,18:15:00,561,11.4,232,507,45.80%,27,117,23.10%,70,126,55.60%,81,201,282,5.8,79,1.6,93,56,36,28,106,132,12
岩手,21,澤口　誠,G/F,58,48,1467:29:00,25:18:00,546,9.4,191,559,34.20%,35,166,21.10%,129,166,77.70%,34,130,164,2.8,171,2.9,98,26,10,29,133,193,7
福島,8,村上　慎也,PG,57,57,1679:59:00,5:28,543,9.5,185,508,36.40%,64,209,30.60%,109,147,74.10%,27,136,163,2.9,150,2.6,102,55,8,25,113,163,8
広島,2,朝山 正悟,SG/SF,60,44,1412:00:00,23:32:00,543,9.1,183,413,44.30%,85,199,42.70%,92,111,82.90%,17,77,94,1.6,61,1,54,33,4,15,86,110,7
奈良,13,小松 秀平,SG,60,33,1392:03:00,23:12:00,537,9,184,446,41.30%,121,300,40.30%,48,67,71.60%,28,140,168,2.8,92,1.5,39,67,7,12,94,61,9
西宮,13,道原 紀晃,PG/SG,48,27,1233:50:00,25:42:00,527,11,191,418,45.70%,38,107,35.50%,107,133,80.50%,59,129,188,3.9,74,1.5,45,36,6,18,80,136,11
茨城,1,一色　翔太,SG,60,31,1449:20:00,0:09,516,8.6,178,422,42.20%,112,271,41.30%,48,63,76.20%,20,82,102,1.7,89,1.5,63,24,2,15,111,72,7
西宮,4,ドゥレイロン・バーンズ,SG/SF,42,0,791:50:00,18:51,511,12.2,169,426,39.70%,71,196,36.20%,102,137,74.50%,49,138,187,4.5,123,2.9,65,63,13,25,75,158,13
東京Z,2,ウィル・クリークモア,PF/C,28,26,881:53:00,7:29,511,18.3,178,395,45.10%,30,67,44.80%,125,167,74.90%,79,244,323,11.5,71,2.5,57,8,36,27,84,164,23
島根,42,ライアン・リード,PF,60,0,1055:24:00,17:35:00,511,8.5,204,435,46.90%,11,51,21.60%,92,126,73.00%,109,280,389,6.5,71,1.2,66,40,27,19,144,119,12
島根,32,安部　潤,SG,55,36,1343:33:00,24:25:00,510,9.3,186,454,41.00%,102,258,39.50%,36,48,75.00%,22,34,56,1,95,1.7,38,44,1,20,104,67,7
群馬,51,根東　裕隆,PG/SG,60,59,1713:56:00,28:33:00,506,8.4,186,423,44.00%,46,133,34.60%,88,109,80.70%,41,161,202,3.4,163,2.7,119,81,5,16,140,161,10
福島,5,友利　健哉,PG,60,60,1750:48:00,29:10:00,504,8.4,181,483,37.50%,89,236,37.70%,53,69,76.80%,13,131,144,2.4,129,2.2,68,43,5,24,139,98,7
島根,55,横尾　達泰,SG,59,37,1542:23:00,26:08:00,503,8.5,188,446,42.20%,78,227,34.40%,49,67,73.10%,31,98,129,2.2,84,1.4,67,27,11,21,104,71,7
香川,19,徳永　林太郎,PG,60,59,1779:27:00,29:39:00,501,8.4,188,449,41.90%,34,106,32.10%,91,138,65.90%,94,174,268,4.5,161,2.7,116,92,4,37,145,191,10
西宮,14,ジョーダン・ヴァンデンバーグ,C,50,40,1134:13:00,22:41:00,500,10,212,351,60.40%,0,2,0.00%,76,119,63.90%,170,296,466,9.3,64,1.3,58,20,87,7,137,95,18
広島,18,鵤 誠司,PG,60,55,1553:40:00,1:53,493,8.2,197,479,41.10%,16,92,17.40%,83,132,62.90%,53,146,199,3.3,190,3.2,96,62,18,25,98,145,9
山形,1,村上　駿斗,SG,57,12,1198:45:00,21:01,492,8.6,190,494,38.50%,43,163,26.40%,69,100,69.00%,16,103,119,2.1,76,1.3,55,39,6,18,58,89,6
西宮,19,梁川 禎浩,SG,60,43,1523:59:00,25:23:00,491,8.2,208,527,39.50%,33,101,32.70%,42,65,64.60%,26,131,157,2.6,109,1.8,62,56,2,28,89,95,7
愛媛,21,ローレンス・ブラックレッジ,PF,45,3,1043:02:00,23:10,484,10.8,193,463,41.70%,25,125,20.00%,73,115,63.50%,51,211,262,5.8,98,2.2,97,53,80,12,122,101,13
広島,24,田中 成也,SG,60,58,1489:00:00,0:49,469,7.8,158,437,36.20%,101,297,34.00%,52,81,64.20%,45,169,214,3.6,44,0.7,57,40,5,6,104,102,7
広島,5,山田　大治,PF/C,59,59,1428:40:00,24:12:00,469,7.9,188,369,50.90%,3,7,42.90%,90,137,65.70%,51,148,199,3.4,145,2.5,95,24,15,18,109,137,9
香川,13,近　忍,SF,56,37,1137:13:00,20:18,454,8.1,160,443,36.10%,79,271,29.20%,55,74,74.30%,24,91,115,2.1,29,0.5,52,45,3,10,84,74,5
愛媛,1,中島　良史,PG,60,48,1408:44:00,23:28,446,7.4,181,378,47.90%,35,95,36.80%,49,66,74.20%,98,119,217,3.6,80,1.3,76,45,1,12,128,90,8
島根,31,高畠　佳介,SG,60,33,1319:00:00,21:59,442,7.4,140,412,34.00%,75,221,33.90%,87,108,80.60%,13,90,103,1.7,71,1.2,59,46,4,7,143,119,5
山形,50,伊澤　実孝,SF,46,27,987:14:00,21:27:00,437,9.5,178,414,43.00%,6,27,22.20%,75,112,67.00%,81,93,174,3.8,24,0.5,47,15,5,27,75,99,7
東京Z,35,高山 師門,PF,60,58,1494:50:00,0:54,436,7.3,165,341,48.40%,7,13,53.80%,99,123,80.50%,121,191,312,5.2,50,0.8,49,33,11,16,133,170,10
FE名古屋,11,神津 祥平,SF,52,37,893:36:00,17:11:00,433,8.3,166,377,44.00%,21,58,36.20%,80,106,75.50%,54,107,161,3.1,46,0.9,57,30,7,27,150,127,7
信州,22,チャド・ポスチュマス,C,26,4,691:33:00,26:35:00,429,16.5,164,309,53.10%,0,1,0.00%,101,166,60.80%,98,205,303,11.7,23,0.9,78,9,10,19,64,126,19
信州,1,和田　保彦,PG/SG,56,33,1258:33:00,22:28,424,7.6,139,411,33.80%,64,198,32.30%,82,106,77.40%,20,64,84,1.5,100,1.8,84,29,5,18,147,115,5
茨城,32,前田　陽介,PF,60,50,1644:53:00,3:24,422,7,163,376,43.40%,80,194,41.20%,16,23,69.60%,33,164,197,3.3,105,1.8,35,15,1,3,75,26,8
広島,0,アジーズ・エンダイ,C,44,0,757:20:00,17:12,421,9.6,175,284,61.60%,0,2,0.00%,71,195,36.40%,124,198,322,7.3,25,0.6,40,28,50,15,86,146,13
信州,11,齊藤　洋介,SG,58,37,1352:18:00,23:18,417,7.2,157,355,44.20%,55,148,37.20%,48,59,81.40%,22,113,135,2.3,134,2.3,109,26,12,17,120,105,7
香川,5,溝口　秀人,SG,60,50,1473:18:00,24:33:00,415,6.9,158,499,31.70%,60,227,26.40%,39,49,79.60%,43,135,178,3,55,0.9,51,34,5,27,96,62,5
奈良,15,寺下 太基,PF,60,20,1213:16:00,20:13,411,6.9,171,387,44.20%,16,55,29.10%,53,90,58.90%,92,183,275,4.6,69,1.2,73,26,13,27,139,106,8
青森,6,館山 健太,SF,50,49,1180:39:00,23:36,410,8.2,148,320,46.30%,60,162,37.00%,54,71,76.10%,23,106,129,2.6,97,1.9,78,23,28,10,108,71,8
岩手,34,小野寺　祥太,SG,56,24,1373:21:00,24:31:00,410,7.3,142,414,34.30%,49,171,28.70%,77,107,72.00%,36,78,114,2,77,1.4,88,27,10,33,146,134,4
熊本,9,神原　裕司,PG/SG,51,32,1421:03:00,3:51,409,8,146,386,37.80%,81,250,32.40%,36,49,73.50%,45,100,145,2.8,134,2.6,73,85,15,6,118,64,9
山形,14,高橋　祐二,PG,59,56,1448:42:00,0:33,401,6.8,143,378,37.80%,40,133,30.10%,75,101,74.30%,19,96,115,1.9,132,2.2,103,61,5,20,113,145,6
奈良,7,ルーベン　ボイキン,PF,60,20,1015:20:00,16:55:00,397,6.6,142,370,38.40%,55,175,31.40%,58,77,75.30%,87,203,290,4.8,90,1.5,60,23,21,9,133,90,9
青森,7,ブランドン・セビルンビ,PF/C,56,0,872:25:00,15:34,396,7.1,159,353,45.00%,3,16,18.80%,75,120,62.50%,72,172,244,4.4,43,0.8,74,18,20,17,109,153,7
信州,9,ジェロ-ン・バンダーリスト,PF/C,28,26,633:57:00,22:38,395,14.1,150,349,43.00%,24,79,30.40%,71,102,69.60%,52,205,257,9.2,58,2.1,71,18,43,20,83,95,17
山形,2,ゲーリー・ハミルトン,C,54,20,1191:11:00,22:03,390,7.2,164,339,48.40%,0,2,0.00%,62,112,55.40%,161,354,515,9.5,115,2.1,106,54,39,24,140,103,14
鹿児島,12,藤田　浩司,SF,60,50,1128:34:00,18:48:00,384,6.4,137,369,37.10%,41,144,28.50%,69,103,67.00%,44,125,169,2.8,44,0.7,65,38,22,23,125,107,5
広島,11,北川 弘,PG,58,7,1169:27:00,20:09,382,6.6,134,352,38.10%,58,181,32.00%,56,69,81.20%,15,92,107,1.8,97,1.7,64,52,11,14,143,99,6
熊本,43,ポール・ビュートラック,F/C,60,0,890:00:00,14:50:00,379,6.3,146,300,48.70%,24,90,26.70%,63,96,65.60%,96,130,226,3.8,55,0.9,53,17,48,21,110,72,8
香川,32,ニカ・ウィリアムズ,C,57,2,779:59:00,13:41,378,6.6,160,317,50.50%,0,2,0.00%,58,115,50.40%,102,156,258,4.5,29,0.5,80,31,45,25,120,122,8
信州,5,武井　弘明,PG,60,25,1194:51:00,19:54,377,6.3,141,385,36.60%,82,248,33.10%,13,20,65.00%,27,78,105,1.8,64,1.1,62,28,11,9,85,47,5
岩手,13,小原　良公,G,60,43,1459:21:00,0:19,376,6.3,135,380,35.50%,41,145,28.30%,65,100,65.00%,29,131,160,2.7,50,0.8,63,32,1,21,130,107,5
FE名古屋,6,大塚 勇人,PG,48,40,1299:29:00,27:04:00,371,7.7,138,330,41.80%,26,92,28.30%,69,94,73.40%,26,122,148,3.1,217,4.5,103,77,3,15,124,126,10
香川,14,エイドリアン・フォーブス,PF/C,60,1,1058:13:00,17:38,370,6.2,161,333,48.30%,0,2,0.00%,48,111,43.20%,165,256,421,7,38,0.6,78,32,76,31,148,96,10
東京Z,1,増子　匠,SF,55,43,1238:29:00,22:31,364,6.6,138,350,39.40%,54,169,32.00%,34,58,58.60%,15,89,104,1.9,101,1.8,72,29,12,7,109,90,5
奈良,0,本多 純平,SF,57,47,1351:20:00,23:42:00,363,6.4,152,362,42.00%,28,101,27.70%,31,40,77.50%,38,116,154,2.7,56,1,75,54,14,20,154,51,6
愛媛,16,笠原　太志,SG,53,52,1583:32:00,29:52:00,352,6.6,130,285,45.60%,33,122,27.00%,59,88,67.00%,48,134,182,3.4,96,1.8,80,83,25,6,132,102,9
熊本,7,小林　慎太郎,SG,49,38,1310:44:00,2:44,349,7.1,124,355,34.90%,74,220,33.60%,27,39,69.20%,31,96,127,2.6,72,1.5,52,31,8,4,91,73,6
群馬,50,梅津　大介,PF,60,52,1337:15:00,22:17,345,5.8,136,371,36.70%,56,173,32.40%,17,24,70.80%,47,134,181,3,29,0.5,48,22,12,11,110,47,5
FE名古屋,10,杉本 慶,SG,60,29,1251:06:00,20:51,344,5.7,117,307,38.10%,42,120,35.00%,68,91,74.70%,42,151,193,3.2,134,2.2,63,57,7,21,117,109,8
茨城,37,河野　誠司,PG,60,43,1253:26:00,20:53,334,5.6,121,309,39.20%,64,157,40.80%,28,38,73.70%,30,76,106,1.8,99,1.7,57,31,1,16,127,74,5
熊本,11,福田　真生,SF,60,48,1573:20:00,2:13,328,5.5,141,324,43.50%,21,67,31.30%,25,40,62.50%,90,149,239,4,91,1.5,58,40,17,5,89,52,8
群馬,55,マーカス・カズン,PF/C,29,0,642:33:00,22:09,319,11,122,228,53.50%,0,1,0.00%,75,98,76.50%,89,159,248,8.6,37,1.3,42,4,25,13,58,81,16
香川,41,高田　秀一,SF/PF,52,52,996:24:00,19:09,318,6.1,132,299,44.10%,18,56,32.10%,36,58,62.10%,40,78,118,2.3,39,0.8,57,20,11,12,85,70,5
鹿児島,3,鮫島　和人,PG,60,60,2038:26:00,9:58,317,5.3,118,428,27.60%,44,188,23.40%,37,59,62.70%,41,146,187,3.1,280,4.7,164,67,4,16,137,104,6
信州,26,上杉　翔,SF/PF,54,54,1164:54:00,21:34,316,5.9,122,310,39.40%,23,90,25.60%,49,77,63.60%,60,137,197,3.6,68,1.3,42,19,27,15,144,130,7
信州,24,鈴木　大,PG/SG,60,50,1419:33:00,23:39,311,5.2,119,342,34.80%,47,169,27.80%,26,40,65.00%,28,117,145,2.4,114,1.9,108,42,13,14,100,75,5
東京Z,20,秋葉 真司,SG,60,38,1396:57:00,23:16,306,5.1,100,299,33.40%,74,231,32.00%,32,49,65.30%,52,96,148,2.5,51,0.9,39,15,5,10,84,69,5
広島,7,坂田 央,SF,59,17,941:50:00,15:57,304,5.2,120,289,41.50%,15,70,21.40%,49,73,67.10%,20,105,125,2.1,21,0.4,27,18,18,9,83,72,5
島根,1,岡本　飛竜,PG,57,1,1085:03:00,19:02,301,5.3,112,291,38.50%,38,134,28.40%,39,69,56.50%,24,75,99,1.7,95,1.7,54,37,2,19,96,78,5
青森,18,菅　俊男,SG,60,52,1216:51:00,20:16,300,5,113,261,43.30%,19,64,29.70%,55,87,63.20%,55,152,207,3.5,74,1.2,42,41,18,24,145,82,7
FE名古屋,32,武藤 修平,PF,53,25,791:24:00,14:55,289,5.5,105,273,38.50%,31,96,32.30%,48,61,78.70%,46,91,137,2.6,47,0.9,40,20,8,13,60,70,5
鹿児島,41,松崎　圭介,SF,59,43,1234:03:00,20:54,284,4.8,101,301,33.60%,47,165,28.50%,35,48,72.90%,67,115,182,3.1,52,0.9,67,56,6,13,140,62,5
東京EX,23,齋藤　豊,SF/PF,60,0,908:31:00,15:08,281,4.7,101,287,35.20%,57,192,29.70%,22,36,61.10%,22,85,107,1.8,55,0.9,60,42,17,7,88,60,4
香川,15,坂東 拓,SG,32,25,719:12:00,22:28,278,8.7,91,251,36.30%,56,160,35.00%,40,56,71.40%,14,57,71,2.2,32,1,22,20,3,9,60,50,6
