"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0021800207","165","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","2","10","48","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","27","112","246","1","0","20181114","MIL","MEM"
"Shot Chart Detail","0021800449","622","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","1","49","Made Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side Center(RC)","16-24 ft.","18","111","152","1","1","20181217","GSW","MEM"
"Shot Chart Detail","0021800449","626","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","1","26","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","17","-39","173","1","0","20181217","GSW","MEM"
"Shot Chart Detail","0021800595","645","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","2","51","Made Shot","Pullup Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","12","-18","123","1","1","20190107","NOP","MEM"
"Shot Chart Detail","0021800595","663","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","0","52","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","27","-152","226","1","0","20190107","NOP","MEM"
"Shot Chart Detail","0021800646","599","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","3","21","Missed Shot","Turnaround Fadeaway shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","13","-70","113","1","0","20190114","HOU","MEM"
"Shot Chart Detail","0021800646","628","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","0","14","Made Shot","Cutting Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","6","1","1","20190114","HOU","MEM"
"Shot Chart Detail","0021800660","631","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","5","47","Missed Shot","Driving Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-25","69","1","0","20190116","MEM","MIL"
"Shot Chart Detail","0021800684","515","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","9","55","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","119","238","1","1","20190119","TOR","MEM"
"Shot Chart Detail","0021800684","519","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","9","30","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-239","11","1","0","20190119","TOR","MEM"
"Shot Chart Detail","0021800684","589","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","3","39","Missed Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-3","25","1","0","20190119","TOR","MEM"
"Shot Chart Detail","0021800684","594","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","3","16","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","10","108","0","1","0","20190119","TOR","MEM"
"Shot Chart Detail","0021800684","625","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","0","40","Made Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","11","-109","48","1","1","20190119","TOR","MEM"
"Shot Chart Detail","0021800697","163","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","2","11","31","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-228","3","1","0","20190121","MEM","NOP"
"Shot Chart Detail","0021800697","628","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","0","23","Missed Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","13","30","133","1","0","20190121","MEM","NOP"
"Shot Chart Detail","0021800801","328","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","2","1","21","Missed Shot","Running Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-114","151","1","0","20190205","MEM","MIN"
"Shot Chart Detail","0021800801","499","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","3","0","39","Missed Shot","Floating Jump shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-20","16","1","0","20190205","MEM","MIN"
"Shot Chart Detail","0021800801","503","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","3","0","6","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-228","-11","1","0","20190205","MEM","MIN"
"Shot Chart Detail","0021800801","523","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","10","57","Made Shot","Running Alley Oop Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","-14","10","1","1","20190205","MEM","MIN"
"Shot Chart Detail","0021800801","534","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","9","22","Made Shot","Jump Shot","3PT Field Goal","Right Corner 3","Right Side(R)","24+ ft.","23","232","-20","1","1","20190205","MEM","MIN"
"Shot Chart Detail","0021800815","127","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","1","3","58","Made Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-14","16","1","1","20190207","OKC","MEM"
"Shot Chart Detail","0021800815","147","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","1","2","50","Missed Shot","Running Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-220","121","1","0","20190207","OKC","MEM"
"Shot Chart Detail","0021800815","198","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","2","10","59","Missed Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","-41","252","1","0","20190207","OKC","MEM"
"Shot Chart Detail","0021800815","207","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","2","10","41","Made Shot","Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-3","-6","1","1","20190207","OKC","MEM"
"Shot Chart Detail","0021800815","247","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","2","7","18","Missed Shot","Driving Floating Bank Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-57","29","1","0","20190207","OKC","MEM"
"Shot Chart Detail","0021800815","435","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","3","5","32","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","18","30","180","1","0","20190207","OKC","MEM"
"Shot Chart Detail","0021800815","625","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","3","3","Made Shot","Driving Floating Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","2","55","1","1","20190207","OKC","MEM"
"Shot Chart Detail","0021800815","661","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","0","19","Missed Shot","Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.","14","-102","104","1","0","20190207","OKC","MEM"
"Shot Chart Detail","0021801091","592","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","7","22","Missed Shot","Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","12","124","8","1","0","20190323","MEM","MIN"
"Shot Chart Detail","0021801091","614","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","6","13","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","22","-226","7","1","0","20190323","MEM","MIN"
"Shot Chart Detail","0021801151","122","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","1","1","49","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","14","-39","136","1","0","20190331","LAC","MEM"
"Shot Chart Detail","0021801151","162","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","2","11","16","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-142","216","1","0","20190331","LAC","MEM"
"Shot Chart Detail","0021801151","545","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","9","17","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","14","-18","141","1","0","20190331","LAC","MEM"
"Shot Chart Detail","0021801151","565","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","8","7","Missed Shot","Running Pull-Up Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-141","200","1","0","20190331","LAC","MEM"
"Shot Chart Detail","0021801175","116","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","1","1","15","Missed Shot","Jump Shot","2PT Field Goal","Mid-Range","Center(C)","16-24 ft.","17","-30","168","1","0","20190403","POR","MEM"
"Shot Chart Detail","0021801175","149","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","2","11","5","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","18","6","1","1","20190403","POR","MEM"
"Shot Chart Detail","0021801175","171","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","2","9","27","Missed Shot","Driving Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Right Side(R)","8-16 ft.","8","57","61","1","0","20190403","POR","MEM"
"Shot Chart Detail","0021801175","483","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","9","51","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","25","-144","214","1","0","20190403","POR","MEM"
"Shot Chart Detail","0021801175","502","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","8","16","Missed Shot","Driving Floating Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","15","-70","137","1","0","20190403","POR","MEM"
"Shot Chart Detail","0021801175","589","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","3","4","Made Shot","Turnaround Fadeaway Bank Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","-56","39","1","1","20190403","POR","MEM"
"Shot Chart Detail","0021801175","596","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","2","5","Missed Shot","Driving Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","4","-32","27","1","0","20190403","POR","MEM"
"Shot Chart Detail","0021801175","618","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","0","19","Missed Shot","Running Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-20","2","1","0","20190403","POR","MEM"
"Shot Chart Detail","0021801187","242","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","2","6","34","Made Shot","Driving Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","-5","0","1","1","20190405","DAL","MEM"
"Shot Chart Detail","0021801225","128","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","1","3","21","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","24","-195","147","1","0","20190410","MEM","GSW"
"Shot Chart Detail","0021801225","181","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","2","11","5","Missed Shot","Pullup Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","11","0","117","1","0","20190410","MEM","GSW"
"Shot Chart Detail","0021801225","187","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","2","10","26","Missed Shot","Jump Shot","3PT Field Goal","Left Corner 3","Left Side(L)","24+ ft.","23","-233","-18","1","0","20190410","MEM","GSW"
"Shot Chart Detail","0021801225","203","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","2","8","55","Missed Shot","Tip Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","0","0","-6","1","0","20190410","MEM","GSW"
"Shot Chart Detail","0021801225","475","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","11","27","Missed Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","8","-65","58","1","0","20190410","MEM","GSW"
"Shot Chart Detail","0021801225","507","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","8","56","Missed Shot","Running Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-139","230","1","0","20190410","MEM","GSW"
"Shot Chart Detail","0021801225","590","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","2","53","Made Shot","Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","11","5","1","1","20190410","MEM","GSW"
"Shot Chart Detail","0021801225","612","1629139","Yuta Watanabe","1610612763","Memphis Grizzlies","4","1","1","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","10","84","1","1","20190410","MEM","GSW"
