"Seq","League","Area","Team","Name","Position_Raw","School","Hometown","Birthday_Raw","Birthday","Height_Raw","Height","Weight_Raw","Weight","Nationality","PlayerId","Position"
"1","B1","東地区","北海道","関野 剛平","ポジション / SG/SF","東海大学","北海道","1994年8月1日","1994-08-01","183cm",183,"80kg",80,"日本",10850,"SG/SF"
"2","B1","東地区","北海道","山本 柊輔","ポジション / PG","筑波大学","静岡県","1993年11月4日","1993-11-04","176cm",176,"74kg",74,"日本",8614,"PG"
"3","B1","東地区","北海道","牧 全","ポジション / SG","ソノマ州立大学","愛知県","1992年6月16日","1992-06-16","188cm",188,"86kg",86,"日本",8506,"SG"
"4","B1","東地区","北海道","多嶋 朝飛","ポジション / PG","東海大学","北海道","1988年10月8日","1988-10-08","173cm",173,"71kg",71,"日本",8507,"PG"
"5","B1","東地区","北海道","折茂 武彦","ポジション / SG","日本大学","埼玉県","1970年5月14日","1970-05-14","190cm",190,"77kg",77,"日本",8508,"SG"
"6","B1","東地区","北海道","市岡 ショーン","ポジション / PF","サンディエゴ・ミラマー大学","アメリカ合衆国","1991年4月3日","1991-04-03","198cm",198,"96kg",96,"日本",8597,"PF"
"7","B1","東地区","北海道","桜井 良太","ポジション / SF","愛知学泉大学","三重県","1983年3月13日","1983-03-13","194cm",194,"85kg",85,"日本",8509,"SF"
"8","B1","東地区","北海道","デイビッド・ドブラス","ポジション / C","バルセロナ大学","スペイン","1981年8月6日","1981-08-06","206cm",206,"130kg",130,"スペイン",18396,"C"
"9","B1","東地区","北海道","マーク・トラソリーニ","ポジション / PF/C","サンタクララ大学","アメリカ","1990年6月21日","1990-06-21","206cm",206,"109kg",109,"アメリカ合衆国",12595,"PF/C"
"10","B1","東地区","北海道","川邉 亮平","ポジション / SF","白鴎大学","富山県","1995年3月12日","1995-03-12","188cm",188,"85kg",85,"日本",10880,"SF"
"11","B1","東地区","北海道","野口 大介","ポジション / PF","日本体育大学","北海道","1983年5月26日","1983-05-26","196cm",196,"90kg",90,"日本",8512,"PF"
"12","B1","東地区","北海道","松島 良豪","ポジション / PG","国士舘大学","沖縄県","1992年2月3日","1992-02-03","185cm",185,"78kg",78,"日本",8513,"PG"
"13","B1","東地区","秋田","野本 建吾","ポジション / SF/PF","青山学院大学","兵庫県","1992年4月25日","1992-04-25","200cm",200,"99kg",99,"日本",8486,"SF/PF"
"14","B1","東地区","秋田","下山 大地","ポジション / SG","岩手大学","青森県","1989年8月8日","1989-08-08","182cm",182,"80kg",80,"日本",8542,"SG"
"15","B1","東地区","秋田","白濱 僚祐","ポジション / SF","白鴎大学","佐賀県","1991年8月29日","1991-08-29","189cm",189,"85kg",85,"日本",8734,"SF"
"16","B1","東地区","秋田","成田 正弘","ポジション / PG","拓殖大学","愛知県","1994年4月13日","1994-04-13","174cm",174,"72kg",72,"日本",10845,"PG"
"17","B1","東地区","秋田","下山 貴裕","ポジション / PF","関東学院大学","青森県","1992年2月2日","1992-02-02","192cm",192,"92kg",92,"日本",8544,"PF"
"18","B1","東地区","秋田","中山 拓哉","ポジション / PG/SG","東海大学","神奈川県","1994年7月24日","1994-07-24","182cm",182,"82kg",82,"日本",10848,"PG/SG"
"19","B1","東地区","秋田","保岡 龍斗","ポジション / SG","江戸川大学","埼玉県","1995年4月27日","1995-04-27","188cm",188,"87kg",87,"日本",10878,"SG"
"20","B1","東地区","秋田","ニカ・ウィリアムス","ポジション / C","パシフィック大学","セントヴィンセント・グレナディーン","1987年7月9日","1987-07-09","203cm",203,"111kg",111,"セントビンセント・グレナディーン",9345,"C"
"21","B1","東地区","秋田","俊野 達彦","ポジション / PG/SG","大阪商業大学","愛媛県","1988年1月18日","1988-01-18","185cm",185,"80kg",80,"日本",8598,"PG/SG"
"22","B1","東地区","秋田","小野寺 祥太","ポジション / PG","盛岡南高等学校","岩手県","1994年11月6日","1994-11-06","183cm",183,"84kg",84,"日本",8756,"PG"
"23","B1","東地区","秋田","ジャスティン・キーナン","ポジション / PF/C","フェリス州立大学","米国","1988年5月2日","1988-05-02","201cm",201,"120kg",120,"アメリカ合衆国",18172,"PF/C"
"24","B1","東地区","秋田","カディーム・コールビー","ポジション / PF/C","ウィチタ州立大学","バハマ","1989年11月8日","1989-11-08","206cm",206,"114kg",114,"バハマ",12459,"PF/C"
"25","B1","東地区","秋田","谷口 大智","ポジション / PF/C","サウスイースタン・オクラホマ州立大学","奈良県","1990年4月15日","1990-04-15","201cm",201,"105kg",105,"日本",8470,"PF/C"
"26","B1","東地区","栃木","田臥 勇太","ポジション / PG","ブリガムヤング大学ハワイ校","神奈川県","1980年10月5日","1980-10-05","173cm",173,"76kg",76,"日本",8650,"PG"
"27","B1","東地区","栃木","ジェフ・ギブス","ポジション / PF/C","オターバイン大学","アメリカ合衆国","1980年8月4日","1980-08-04","188cm",188,"110kg",110,"アメリカ合衆国",8835,"PF/C"
"28","B1","東地区","栃木","遠藤 祐亮","ポジション / PG/SG","大東文化大学","千葉県","1989年10月19日","1989-10-19","185cm",185,"88kg",88,"日本",8497,"PG/SG"
"29","B1","東地区","栃木","竹内 公輔","ポジション / PF/C","慶應義塾大学","大阪府","1985年1月29日","1985-01-29","206cm",206,"100kg",100,"日本",8726,"PF/C"
"30","B1","東地区","栃木","田原 隆徳","ポジション / SG","札幌大学","北海道","1994年4月25日","1994-04-25","181cm",181,"81kg",81,"日本",10297,"SG"
"31","B1","東地区","栃木","アンドリュー・ネイミック","ポジション / C","ミシガン州立大学","アメリカ合衆国","1985年2月18日","1985-02-18","208cm",208,"113kg",113,"アメリカ合衆国",9035,"C"
"32","B1","東地区","栃木","渡邉 裕規","ポジション / PG","青山学院大学","神奈川県","1988年3月22日","1988-03-22","180cm",180,"78kg",78,"日本",8499,"PG"
"33","B1","東地区","栃木","鵤 誠司","ポジション / PG","青山学院大学","福岡県","1994年1月8日","1994-01-08","184cm",184,"96kg",96,"日本",8529,"PG"
"34","B1","東地区","栃木","橋本 晃佑","ポジション / PF/C","東海大学","栃木県","1993年5月6日","1993-05-06","203cm",203,"107kg",107,"日本",8496,"PF/C"
"35","B1","東地区","栃木","ライアン・ロシター","ポジション / PF/C","シエナ大学","アメリカ合衆国","1989年9月14日","1989-09-14","206cm",206,"107kg",107,"アメリカ合衆国",8649,"PF/C"
"36","B1","東地区","栃木","栗原 貴宏","ポジション / SF","日本大学","福島県","1987年11月6日","1987-11-06","192cm",192,"88kg",88,"日本",8485,"SF"
"37","B1","東地区","栃木","エリック・ロバーツ","ポジション / SG","ヘンドリックス大学","東京都","1995年6月7日","1995-06-07","193cm",193,"110kg",110,"日本",18452,"SG"
"38","B1","東地区","栃木","山崎 稜","ポジション / SG","タコマ・コミュニティ大学","埼玉県","1992年9月25日","1992-09-25","182cm",182,"80kg",80,"日本",8504,"SG"
"39","B1","東地区","栃木","喜多川 修平","ポジション / SF","専修大学","神奈川県","1985年10月1日","1985-10-01","185cm",185,"85kg",85,"日本",8657,"SF"
"40","B1","東地区","SR渋谷","満原 優樹","ポジション / PF/C","東海大学","神奈川県","1989年12月27日","1989-12-27","198cm",198,"110kg",110,"日本",8662,"PF/C"
"41","B1","東地区","SR渋谷","清水 太志郎","ポジション / PG/SG","筑波大学","宮崎県","1981年8月6日","1981-08-06","183cm",183,"85kg",85,"日本",8730,"PG/SG"
"42","B1","東地区","SR渋谷","秋葉 真司","ポジション / SG","明治大学","山形県","1993年9月10日","1993-09-10","185cm",185,"84kg",84,"日本",8554,"SG"
"43","B1","東地区","SR渋谷","ファイ サンバ","ポジション / C","天理大学","セネガル","1987年4月25日","1987-04-25","205cm",205,"105kg",105,"日本",8784,"C"
"44","B1","東地区","SR渋谷","ロバート・サクレ","ポジション / C","ゴンザガ大学","アメリカ合衆国ルイジアナ州バトンルージュ","1989年6月6日","1989-06-06","213cm",213,"118kg",118,"カナダ / アメリカ合衆国",10819,"C"
"45","B1","東地区","SR渋谷","伊藤 駿","ポジション / PG","青山学院大学","宮城県","1990年2月14日","1990-02-14","174cm",174,"75kg",75,"日本",8446,"PG"
"46","B1","東地区","SR渋谷","ベンドラメ 礼生","ポジション / PG","東海大学","福岡県","1993年11月14日","1993-11-14","183cm",183,"83kg",83,"日本",8447,"PG"
"47","B1","東地区","SR渋谷","マーカリ・サンダース・フリソン","ポジション / C","カリフォルニア大学バークレー校","アメリカ合衆国オレゴン州ポートランド","1988年6月15日","1988-06-15","203cm",203,"120kg",120,"アメリカ合衆国",9372,"C"
"48","B1","東地区","SR渋谷","杉浦 佑成","ポジション / SF","筑波大学","東京都","1995年6月24日","1995-06-24","196cm",196,"95kg",95,"日本",10820,"SF"
"49","B1","東地区","SR渋谷","長谷川 智也","ポジション / SG","法政大学","新潟県","1989年4月22日","1989-04-22","185cm",185,"80kg",80,"日本",8594,"SG"
"50","B1","東地区","SR渋谷","広瀬 健太","ポジション / SF","青山学院","島根県","1985年7月11日","1985-07-11","193cm",193,"90kg",90,"日本",8450,"SF"
"51","B1","東地区","SR渋谷","山内 盛久","ポジション / PG/SG","尚学院国際ビジネスアカデミー","沖縄県","1990年3月23日","1990-03-23","175cm",175,"75kg",75,"日本",8658,"PG/SG"
"52","B1","東地区","SR渋谷","ライアン・ケリー","ポジション / SF/PF","デューク大学","アメリカ合衆国ニューヨーク州カーメル","1991年4月9日","1991-04-09","211cm",211,"104kg",104,"アメリカ合衆国",18398,"SF/PF"
"53","B1","東地区","A東京","小島 元基","ポジション / PG","東海大学","茨城県","1994年2月19日","1994-02-19","181cm",181,"84kg",84,"日本",8456,"PG"
"54","B1","東地区","A東京","齋藤 拓実","ポジション / PG","明治大学","神奈川県","1995年8月11日","1995-08-11","171cm",171,"66kg",66,"日本",14301,"PG"
"55","B1","東地区","A東京","安藤 誓哉","ポジション / PG","明治大学","東京都","1992年7月15日","1992-07-15","181cm",181,"80kg",80,"日本",8467,"PG"
"56","B1","東地区","A東京","馬場 雄大","ポジション / SF","筑波大学","富山県","1995年11月7日","1995-11-07","198cm",198,"90kg",90,"日本",12577,"SF"
"57","B1","東地区","A東京","正中 岳城","ポジション / SG","青山学院大学","兵庫県","1984年9月15日","1984-09-15","180cm",180,"78kg",78,"日本",9029,"SG"
"58","B1","東地区","A東京","ザック・バランスキー","ポジション / SF/PF","東海大学","アメリカ合衆国","1992年12月18日","1992-12-18","193cm",193,"100kg",100,"見做し日本人",9031,"SF/PF"
"59","B1","東地区","A東京","菊地 祥平","ポジション / SF","日本大学","山形県","1984年8月27日","1984-08-27","191cm",191,"93kg",93,"日本",9032,"SF"
"60","B1","東地区","A東京","竹内 譲次","ポジション / PF/C","東海大学","大阪府","1985年1月29日","1985-01-29","207cm",207,"98kg",98,"日本",9033,"PF/C"
"61","B1","東地区","A東京","田中 大貴","ポジション / SG","東海大学","長崎県","1991年9月3日","1991-09-03","192cm",192,"93kg",93,"日本",9037,"SG"
"62","B1","東地区","A東京","ジャワッド・ウィリアムズ","ポジション / PF","ノースカロライナ大学","アメリカ合衆国","1983年2月19日","1983-02-19","204cm",204,"101kg",101,"アメリカ合衆国",12580,"PF"
"63","B1","東地区","A東京","ミルコ・ビエリツァ","ポジション / PF","ハイアースクールオブモダンビジネス","セルビア","1984年6月4日","1984-06-04","207cm",207,"112kg",112,"セルビア",18397,"PF"
"64","B1","東地区","A東京","アレックス・カーク","ポジション / C","ニューメキシコ大学","アメリカ合衆国","1991年11月14日","1991-11-14","211cm",211,"114kg",114,"アメリカ合衆国",12582,"C"
"65","B1","東地区","千葉","ジョシュ・ダンカン","ポジション / PF","ザビエル大学","アメリカ合衆国","1986年5月12日","1986-05-12","205cm",205,"111kg",111,"アメリカ合衆国",18440,"PF"
"66","B1","東地区","千葉","富樫 勇樹","ポジション / PG","モントロス・クリスチャン高校","新潟県","1993年7月30日","1993-07-30","167cm",167,"65kg",65,"日本",9055,"PG"
"67","B1","東地区","千葉","マイケル・パーカー","ポジション / PF","エバーグリーン州立大学","アメリカ合衆国","1981年12月5日","1981-12-05","200cm",200,"102kg",102,"日本",8579,"PF"
"68","B1","東地区","千葉","田口 成浩","ポジション / SG","富士大学","秋田県","1990年3月25日","1990-03-25","184cm",184,"84kg",84,"日本",8468,"SG"
"69","B1","東地区","千葉","トレイ・ジョーンズ","ポジション / SF","マイアミ大学","アメリカ合衆国","1990年8月27日","1990-08-27","196cm",196,"98kg",98,"アメリカ合衆国",18441,"SF"
"70","B1","東地区","千葉","大宮 宏正","ポジション / PF","専修大学","栃木県","1983年9月4日","1983-09-04","197cm",197,"99kg",99,"日本",8653,"PF"
"71","B1","東地区","千葉","アキ・チェンバース","ポジション / SF","カリフォルニア大学マーセド校","東京都","1990年9月19日","1990-09-19","190cm",190,"85kg",85,"日本",8448,"SF"
"72","B1","東地区","千葉","西村 文男","ポジション / PG","東海大学","三重県","1986年9月24日","1986-09-24","177cm",177,"70kg",70,"見做し日本人",8580,"PG"
"73","B1","東地区","千葉","藤永 佳昭","ポジション / PG","東海大学","兵庫県","1992年4月10日","1992-04-10","173cm",173,"73kg",73,"日本",8736,"PG"
"74","B1","東地区","千葉","ギャビン・エドワーズ","ポジション / PF","コネチカット大学","アメリカ合衆国","1988年1月15日","1988-01-15","206cm",206,"110kg",110,"アメリカ合衆国",8593,"PF"
"75","B1","東地区","千葉","石井 講祐","ポジション / SG","東海大学","千葉県","1987年9月29日","1987-09-29","182cm",182,"83kg",83,"日本",8583,"SG"
"76","B1","東地区","千葉","原 修太","ポジション / SG/SF","国士舘大学","千葉県","1993年12月17日","1993-12-17","187cm",187,"88kg",88,"日本",8584,"SG/SF"
"77","B1","東地区","千葉","小野 龍猛","ポジション / SF/PF","中央大学","東京都","1988年1月6日","1988-01-06","197cm",197,"96kg",96,"日本",8585,"SF/PF"
"78","B1","中地区","新潟","山口 祐希","ポジション / PG","ファイファー大学","東京都","1986年11月25日","1986-11-25","165cm",165,"67kg",67,"日本",8641,"PG"
"79","B1","中地区","新潟","柏木 真介","ポジション / PG","中央大学","北海道","1981年12月22日","1981-12-22","183cm",183,"83kg",83,"日本",8588,"PG"
"80","B1","中地区","新潟","五十嵐 圭","ポジション / PG","中央大学","新潟県","1980年5月7日","1980-05-07","180cm",180,"70kg",70,"日本",8645,"PG"
"81","B1","中地区","新潟","鵜澤 潤","ポジション / PF","日本体育大学","千葉県","1981年10月28日","1981-10-28","196cm",196,"103kg",103,"日本",8515,"PF"
"82","B1","中地区","新潟","石井 峻平","ポジション / SG/SF","駒澤大学","新潟県","1995年7月13日","1995-07-13","187cm",187,"80kg",80,"日本",15757,"SG/SF"
"83","B1","中地区","新潟","渡辺 竜之佑","ポジション / PG/SG","専修大学","沖縄県","1994年8月24日","1994-08-24","189cm",189,"90kg",90,"日本",9329,"PG/SG"
"84","B1","中地区","新潟","森井 健太","ポジション / PG","早稲田大学","石川県","1995年9月22日","1995-09-22","178cm",178,"77kg",77,"日本",10851,"PG"
"85","B1","中地区","新潟","上江田 勇樹","ポジション / SG/SF","日本大学","沖縄県","1987年6月17日","1987-06-17","193cm",193,"87kg",87,"日本",8581,"SG/SF"
"86","B1","中地区","新潟","池田 雄一","ポジション / SF","東海大学","新潟県","1983年7月13日","1983-07-13","191cm",191,"93kg",93,"日本",8476,"SF"
"87","B1","中地区","新潟","ラモント・ハミルトン","ポジション / PF/C","セント・ジョーンズ大学","アメリカ","1984年4月6日","1984-04-06","208cm",208,"124kg",124,"アメリカ合衆国",9384,"PF/C"
"88","B1","中地区","新潟","ダバンテ・ガードナー","ポジション / C","マーケット大学","アメリカ","1991年9月2日","1991-09-02","203cm",203,"132kg",132,"アメリカ合衆国",9040,"C"
"89","B1","中地区","富山","レオ・ライオンズ","ポジション / PF","ミズーリ大学コロンビア校","アメリカ合衆国","1987年5月24日","1987-05-24","206cm",206,"115kg",115,"アメリカ合衆国",10897,"PF"
"90","B1","中地区","富山","関口 サムエル","ポジション / SG","","千葉県","1995年5月7日","1995-05-07","190cm",190,"85kg",85,"日本",18178,"SG"
"91","B1","中地区","富山","船生 誠也","ポジション / SF","青山学院大学","福島県","1993年12月15日","1993-12-15","190cm",190,"85kg",85,"日本",8737,"SF"
"92","B1","中地区","富山","阿部 友和","ポジション / PG","大東文化大学","福岡県","1985年9月2日","1985-09-02","180cm",180,"80kg",80,"日本",8578,"PG"
"93","B1","中地区","富山","山田 大治","ポジション / PF","日本大学","大阪府","1981年6月8日","1981-06-08","200cm",200,"105kg",105,"日本",8768,"PF"
"94","B1","中地区","富山","水戸 健史","ポジション / SG","近畿大学","富山県","1985年4月23日","1985-04-23","185cm",185,"75kg",75,"日本",8501,"SG"
"95","B1","中地区","富山","宇都 直輝","ポジション / PG","専修大学","愛知県","1991年6月11日","1991-06-11","191cm",191,"80kg",80,"日本",8503,"PG"
"96","B1","中地区","富山","比留木 謙司","ポジション / PF","サンディエゴ・シティ・カレッジ","東京都","1985年7月19日","1985-07-19","196cm",196,"94kg",94,"日本",9423,"PF"
"97","B1","中地区","富山","大塚 裕土","ポジション / SG/SF","東海大学","北海道","1987年8月23日","1987-08-23","188cm",188,"82kg",82,"日本",8449,"SG/SF"
"98","B1","中地区","富山","葛原 大智","ポジション / SG","大東文化大学","愛媛県","1996年2月5日","1996-02-05","187cm",187,"84kg",84,"日本",15818,"SG"
"99","B1","中地区","富山","青野 文彦","ポジション / C","青山学院大学","愛媛県","1978年10月20日","1978-10-20","210cm",210,"120kg",120,"日本",9318,"C"
"100","B1","中地区","富山","ジョシュア・スミス","ポジション / C","ジョージタウン大学","アメリカ合衆国","1992年5月14日","1992-05-14","208cm",208,"138kg",138,"アメリカ合衆国",12633,"C"
"101","B1","中地区","横浜","細谷 将司","ポジション / PG","関東学院大学","神奈川県","1989年10月2日","1989-10-02","173cm",173,"72kg",72,"日本",8712,"PG"
"102","B1","中地区","横浜","川村 卓也","ポジション / SG","盛岡南高校","岩手県","1986年4月24日","1986-04-24","193cm",193,"92kg",92,"日本",8721,"SG"
"103","B1","中地区","横浜","高島 一貴","ポジション / SG","早稲田大学","茨城県","1984年2月25日","1984-02-25","190cm",190,"85kg",85,"日本",8719,"SG"
"104","B1","中地区","横浜","湊谷 安玲久司朱","ポジション / SG","青山学院大学","青森県","1988年8月31日","1988-08-31","191cm",191,"88kg",88,"日本",8713,"SG"
"105","B1","中地区","横浜","中村 太地","ポジション / PG","法政大学","山口県","1997年6月29日","1997-06-29","190cm",190,"83kg",83,"日本",10821,"PG"
"106","B1","中地区","横浜","橋本 尚明","ポジション / SG","近畿大学","愛媛県","1992年9月21日","1992-09-21","182cm",182,"75kg",75,"日本",8684,"SG"
"107","B1","中地区","横浜","アマンゼ・エゲケゼ","ポジション / SF","ベルモント大学","アメリカ合衆国","1995年12月3日","1995-12-03","203cm",203,"100kg",100,"アメリカ合衆国",18168,"SF"
"108","B1","中地区","横浜","ハンター・コート","ポジション / PG","Yokota High School","東京都","1999年4月5日","1999-04-05","188cm",188,"70kg",70,"日本",12637,"PG"
"109","B1","中地区","横浜","ジャボン・マックレア","ポジション / PF/C","ニューヨーク州立大学バッファロー校","アメリカ合衆国","1992年10月5日","1992-10-05","206cm",206,"113kg",113,"アメリカ合衆国",18459,"PF/C"
"110","B1","中地区","横浜","田渡 凌","ポジション / PG","ドミニカン大学カリフォルニア校","東京都","1993年6月29日","1993-06-29","180cm",180,"80kg",80,"日本",12454,"PG"
"111","B1","中地区","横浜","竹田 謙","ポジション / SG","青山学院大学","神奈川県","1978年10月5日","1978-10-05","188cm",188,"80kg",80,"日本",8720,"SG"
"112","B1","中地区","横浜","エドワード・モリス","ポジション / PF","ピッツバーグ州立大学","アメリカ合衆国","1984年5月4日","1984-05-04","203cm",203,"98kg",98,"日本",9259,"PF"
"113","B1","中地区","横浜","チャールズ・ガルシア","ポジション / PF","シアトル大学","アメリカ合衆国","1988年10月13日","1988-10-13","208cm",208,"104kg",104,"アメリカ合衆国",18169,"PF"
"114","B1","中地区","横浜","小原 翼","ポジション / PF","筑波大学","神奈川県","1994年7月27日","1994-07-27","198cm",198,"97kg",97,"日本",10873,"PF"
"115","B1","中地区","川崎","藤井 祐眞","ポジション / PG/SG","拓殖大学","島根県","1991年12月23日","1991-12-23","178cm",178,"75kg",75,"日本",8482,"PG/SG"
"116","B1","中地区","川崎","林 翔太郎","ポジション / SF","東海大学九州","北海道","1995年9月13日","1995-09-13","195cm",195,"83kg",83,"日本",15816,"SF"
"117","B1","中地区","川崎","青木 保憲","ポジション / PG","筑波大学","静岡県","1995年6月23日","1995-06-23","181cm",181,"85kg",85,"日本",15817,"PG"
"118","B1","中地区","川崎","篠山 竜青","ポジション / PG","日本大学","神奈川県","1988年7月20日","1988-07-20","178cm",178,"78kg",78,"日本",8484,"PG"
"119","B1","中地区","川崎","辻 直人","ポジション / SG","青山学院大学","大阪府","1989年9月8日","1989-09-08","185cm",185,"82kg",82,"日本",8487,"SG"
"120","B1","中地区","川崎","谷口 光貴","ポジション / SG/SF","中央大学","奈良県","1992年12月18日","1992-12-18","187cm",187,"85kg",85,"日本",8488,"SG/SF"
"121","B1","中地区","川崎","鎌田 裕也","ポジション / PF/C","大東文化大学","福島県","1990年5月11日","1990-05-11","197cm",197,"111kg",111,"日本",8489,"PF/C"
"122","B1","中地区","川崎","バーノン・マクリン","ポジション / PF/C","フロリダ大学","アメリカ","1986年9月25日","1986-09-25","208cm",208,"104kg",104,"アメリカ合衆国",18426,"PF/C"
"123","B1","中地区","川崎","ニック・ファジーカス","ポジション / C","ネバダ大学","アメリカ","1985年6月17日","1985-06-17","210cm",210,"111kg",111,"帰化",8490,"C"
"124","B1","中地区","川崎","バンバ ・ジュフ","ポジション / SF/PF","拓殖大学","セネガル共和国","1993年9月30日","1993-09-30","198cm",198,"95kg",95,"セネガル",12591,"SF/PF"
"125","B1","中地区","川崎","シェーン・エドワーズ","ポジション / SF/PF","アーカンソー大学リトルロック校","アメリカ","1987年5月31日","1987-05-31","201cm",201,"100kg",100,"アメリカ合衆国",18427,"SF/PF"
"126","B1","中地区","川崎","長谷川 技","ポジション / SF","拓殖大学","岩手県","1989年7月21日","1989-07-21","190cm",190,"90kg",90,"日本",8492,"SF"
"127","B1","中地区","三遠","ロバート・ドジャー","ポジション / PF","メンフィス大学","アメリカ","1985年11月26日","1985-11-26","206cm",206,"102kg",102,"アメリカ合衆国",9354,"PF"
"128","B1","中地区","三遠","寺園 脩斗","ポジション / PG","東海大学","宮崎県","1994年6月28日","1994-06-28","171cm",171,"70kg",70,"日本",18148,"PG"
"129","B1","中地区","三遠","川嶋 勇人","ポジション / SG","関西学院大学","京都府","1990年5月15日","1990-05-15","186cm",186,"86kg",86,"日本",8727,"SG"
"130","B1","中地区","三遠","長谷川 智伸","ポジション / SG/SF","拓殖大学","島根県","1990年11月9日","1990-11-09","183cm",183,"84kg",84,"日本",8577,"SG/SF"
"131","B1","中地区","三遠","渡邊 翔太","ポジション / PG","関西学院大学","兵庫県","1993年6月26日","1993-06-26","180cm",180,"70kg",70,"日本",8552,"PG"
"132","B1","中地区","三遠","太田 敦也","ポジション / C","日本大学","愛知県","1984年6月4日","1984-06-04","206cm",206,"112kg",112,"日本",8565,"C"
"133","B1","中地区","三遠","岡田 慎吾","ポジション / SG","國學院大學","群馬県","1983年9月12日","1983-09-12","188cm",188,"83kg",83,"日本",8567,"SG"
"134","B1","中地区","三遠","ダシルバ　ヒサシ","ポジション / SG","浜松学院高校","静岡県","1999年5月31日","1999-05-31","187cm",187,"92kg",92,"日本",15849,"SG"
"135","B1","中地区","三遠","鈴木 達也","ポジション / PG","拓殖大学","東京都","1991年3月30日","1991-03-30","169cm",169,"67kg",67,"日本",8568,"PG"
"136","B1","中地区","三遠","菅野 翔太","ポジション / SF","東北学院大学","福島県","1992年1月12日","1992-01-12","190cm",190,"88kg",88,"日本",8677,"SF"
"137","B1","中地区","三遠","シャキール・モリス","ポジション / C","ウィチタ州立大学","アメリカ","1994年2月23日","1994-02-23","203cm",203,"120kg",120,"アメリカ合衆国",18444,"C"
"138","B1","中地区","三遠","ウィリアム・マクドナルド","ポジション / C","サウスフロリダ大学","アメリカ","1979年10月5日","1979-10-05","206cm",206,"120kg",120,"アメリカ合衆国",12663,"C"
"139","B1","中地区","三遠","田渡 修人","ポジション / SG","筑波大学","東京都","1990年1月6日","1990-01-06","185cm",185,"79kg",79,"日本",8571,"SG"
"140","B1","中地区","三河","ジェームズ・サザランド","ポジション / SF","シラキュース大学","アメリカ","1990年4月28日","1990-04-28","203cm",203,"100kg",100,"アメリカ合衆国",18436,"SF"
"141","B1","中地区","三河","狩俣 昌也","ポジション / PG","国際武道大学","沖縄県","1988年4月28日","1988-04-28","178cm",178,"75kg",75,"日本",8590,"PG"
"142","B1","中地区","三河","アイザック・バッツ","ポジション / C","アパラチアン州立大学","アメリカ","1989年5月28日","1989-05-28","208cm",208,"133kg",133,"アメリカ合衆国",8591,"C"
