"Seq","League","Area","Team","Name","Position_Raw","School","Hometown","Birthday_Raw","Birthday","Height_Raw","Height","Weight_Raw","Weight","Nationality","PlayerId","Position"
"143","B1","中地区","三河","村上 直","ポジション / PG","同志社大学","大阪府","1986年12月4日","1986-12-04","178cm",178,"72kg",72,"日本",8457,"PG"
"144","B1","中地区","三河","森川 正明","ポジション / SF","愛知学泉大学","福井県","1992年3月7日","1992-03-07","191cm",191,"89kg",89,"日本",9405,"SF"
"145","B1","中地区","三河","西川 貴之","ポジション / SF","明治大学","北海道","1992年1月14日","1992-01-14","196cm",196,"90kg",90,"日本",8510,"SF"
"146","B1","中地区","三河","金丸 晃輔","ポジション / SG/SF","明治大学","福岡県","1989年3月8日","1989-03-08","192cm",192,"88kg",88,"日本",8592,"SG/SF"
"147","B1","中地区","三河","松井 啓十郎","ポジション / SG","コロンビア大学","東京都","1985年10月16日","1985-10-16","188cm",188,"83kg",83,"日本",9034,"SG"
"148","B1","中地区","三河","加藤 寿一","ポジション / SG","法政大学","神奈川県","1993年10月5日","1993-10-05","191cm",191,"86kg",86,"日本",8595,"SG"
"149","B1","中地区","三河","桜木 ジェイアール","ポジション / PF","UCLA","アメリカ","1976年10月30日","1976-10-30","203cm",203,"105kg",105,"帰化",8596,"PF"
"150","B1","中地区","三河","グラント・ジェレット","ポジション / PF","アリゾナ大学","アメリカ","1993年7月8日","1993-07-08","208cm",208,"100kg",100,"アメリカ合衆国",18430,"PF"
"151","B1","中地区","三河","生原 秀将","ポジション / PG","筑波大学","徳島県","1994年5月24日","1994-05-24","180cm",180,"80kg",80,"日本",10822,"PG"
"152","B1","西地区","名古屋D","小林 遥太","ポジション / PG","青山学院大学","新潟県","1991年9月12日","1991-09-12","178cm",178,"77kg",77,"日本",8462,"PG"
"153","B1","西地区","名古屋D","マーキース・カミングス","ポジション / PF","ケネソー州立大学","アメリカ合衆国","1988年12月21日","1988-12-21","192cm",192,"104kg",104,"アメリカ合衆国",18166,"PF"
"154","B1","西地区","名古屋D","満田 丈太郎","ポジション / SG/SF","筑波大学","神奈川県","1994年4月18日","1994-04-18","188cm",188,"83kg",83,"日本",10844,"SG/SF"
"155","B1","西地区","名古屋D","菊池 真人","ポジション / PF","日本大学東北高等学校","福島県","1989年6月18日","1989-06-18","191cm",191,"94kg",94,"日本",8479,"PF"
"156","B1","西地区","名古屋D","張本 天傑","ポジション / SF/PF","青山学院大学","愛知県","1992年1月8日","1992-01-08","197cm",197,"100kg",100,"日本",8738,"SF/PF"
"157","B1","西地区","名古屋D","安藤 周人","ポジション / SG","青山学院大学","三重県","1994年6月13日","1994-06-13","190cm",190,"89kg",89,"日本",10815,"SG"
"158","B1","西地区","名古屋D","中東 泰斗","ポジション / SG","明治大学","奈良県","1992年6月18日","1992-06-18","191cm",191,"80kg",80,"日本",8516,"SG"
"159","B1","西地区","名古屋D","笠井 康平","ポジション / PG","青山学院大学","香川県","1993年8月12日","1993-08-12","175cm",175,"75kg",75,"日本",18167,"PG"
"160","B1","西地区","名古屋D","中務 敏宏","ポジション / SG/SF","筑波大学","大阪府","1986年4月18日","1986-04-18","188cm",188,"85kg",85,"日本",8739,"SG/SF"
"161","B1","西地区","名古屋D","笹山 貴哉","ポジション / PG","筑波大学","三重県","1993年2月15日","1993-02-15","180cm",180,"77kg",77,"日本",8517,"PG"
"162","B1","西地区","名古屋D","ジャスティン・バーレル","ポジション / PF/C","セント・ジョーンズ大学","アメリカ合衆国","1988年4月18日","1988-04-18","204cm",204,"111kg",111,"アメリカ合衆国",9383,"PF/C"
"163","B1","西地区","名古屋D","クレイグ・ブラッキンズ","ポジション / PF/C","アイオワ州立大学","アメリカ合衆国","1987年10月9日","1987-10-09","208cm",208,"116kg",116,"アメリカ合衆国",10817,"PF/C"
"164","B1","西地区","滋賀","西 裕太郎","ポジション / PG","エルカミノカレッジ","アメリカ合衆国","1992年5月3日","1992-05-03","176cm",176,"70kg",70,"日本",9321,"PG"
"165","B1","西地区","滋賀","二ノ宮 康平","ポジション / PG","慶應義塾大学","埼玉県","1988年8月1日","1988-08-01","173cm",173,"70kg",70,"日本",9030,"PG"
"166","B1","西地区","滋賀","紺野 ニズベット 翔","ポジション / SG/SF","サウスイーストコミュニティ大学","ニュージーランド","1997年8月28日","1997-08-28","196cm",196,"92kg",92,"ニュージーランド",18171,"SG/SF"
"167","B1","西地区","滋賀","樋口 大倫","ポジション / PF","専修大学","愛知県","1990年8月13日","1990-08-13","193cm",193,"104kg",104,"日本",8465,"PF"
"168","B1","西地区","滋賀","高橋 耕陽","ポジション / SG/SF","日本大学","北海道","1994年6月16日","1994-06-16","192cm",192,"80kg",80,"日本",10818,"SG/SF"
"169","B1","西地区","滋賀","荒尾 岳","ポジション / PF","青山学院大学","富山県","1987年1月15日","1987-01-15","198cm",198,"105kg",105,"日本",8582,"PF"
"170","B1","西地区","滋賀","ガニ・ラワル","ポジション / PF/C","ジョージア工科大学","アメリカ合衆国","1988年11月7日","1988-11-07","206cm",206,"106kg",106,"アメリカ合衆国",18431,"PF/C"
"171","B1","西地区","滋賀","狩野 祐介","ポジション / SG","東海大学","福岡県","1990年4月18日","1990-04-18","184cm",184,"80kg",80,"日本",8463,"SG"
"172","B1","西地区","滋賀","伊藤 大司","ポジション / PG","ポートランド大学","三重県","1986年12月22日","1986-12-22","184cm",184,"77kg",77,"日本",9039,"PG"
"173","B1","西地区","滋賀","ディオール・フィッシャー","ポジション / PF/C","ウェストバージニア大学","アメリカ合衆国","1981年10月12日","1981-10-12","211cm",211,"116kg",116,"アメリカ合衆国",12585,"PF/C"
"174","B1","西地区","滋賀","鹿野 洵生","ポジション / SF","筑波大学","埼玉県","1988年1月18日","1988-01-18","192cm",192,"82kg",82,"日本",8569,"SF"
"175","B1","西地区","大阪","今野 翔太","ポジション / SF","大阪学院大学","大阪府","1985年3月29日","1985-03-29","183cm",183,"82kg",82,"日本",8680,"SF"
"176","B1","西地区","大阪","長野 誠史","ポジション / PG","東海大九州","石川県","1995年7月7日","1995-07-07","175cm",175,"75kg",75,"日本",18399,"PG"
"177","B1","西地区","大阪","藤高 宗一郎","ポジション / SF","関西大学","大阪府","1991年10月11日","1991-10-11","190cm",190,"90kg",90,"日本",8451,"SF"
"178","B1","西地区","大阪","ファイ パプ 月瑠","ポジション / PF/C","関東学院大学","セネガル","1987年6月22日","1987-06-22","200cm",200,"101kg",101,"日本",18150,"PF/C"
"179","B1","西地区","大阪","根来 新之助","ポジション / SF/PF","天理大学","大阪府","1987年8月19日","1987-08-19","195cm",195,"95kg",95,"日本",8688,"SF/PF"
"180","B1","西地区","大阪","木下 博之","ポジション / PG/SG","日本体育大学","大阪府","1980年2月18日","1980-02-18","177cm",177,"71kg",71,"日本",8689,"PG/SG"
"181","B1","西地区","大阪","合田 怜","ポジション / PG/SG","大阪学院大学","大阪府","1993年8月31日","1993-08-31","183cm",183,"77kg",77,"日本",8690,"PG/SG"
"182","B1","西地区","大阪","エグゼビア・ギブソン","ポジション / PF/C","フロリダ州立大学","アメリカ合衆国","1988年11月3日","1988-11-03","210cm",210,"127kg",127,"アメリカ合衆国",9062,"PF/C"
"183","B1","西地区","大阪","熊谷 尚也","ポジション / SF/PF","日本体育大学","福岡県","1990年11月16日","1990-11-16","195cm",195,"90kg",90,"日本",8498,"SF/PF"
"184","B1","西地区","大阪","畠山 俊樹","ポジション / PG","青山学院大学","宮城県","1991年6月18日","1991-06-18","170cm",170,"73kg",73,"日本",8643,"PG"
"185","B1","西地区","大阪","ジョシュ・ハレルソン","ポジション / PF/C","ケンタッキー大学","アメリカ合衆国","1989年2月12日","1989-02-12","208cm",208,"125kg",125,"アメリカ合衆国",9063,"PF/C"
"186","B1","西地区","京都","伊藤 達哉","ポジション / PG","東海大学","千葉県","1994年11月26日","1994-11-26","173cm",173,"74kg",74,"日本",10849,"PG"
"187","B1","西地区","京都","晴山 ケビン","ポジション / SF","東海大学","岩手県","1993年1月14日","1993-01-14","191cm",191,"93kg",93,"日本",8483,"SF"
"188","B1","西地区","京都","綿貫　瞬","ポジション / PG","神奈川大学","神奈川県","1987年11月2日","1987-11-02","178cm",178,"70kg",70,"日本",8681,"PG"
"189","B1","西地区","京都","岡田　優介","ポジション / SG","青山学院大学","東京都","1984年9月17日","1984-09-17","185cm",185,"81kg",81,"日本",8729,"SG"
"190","B1","西地区","京都","近 忍","ポジション / SF","日本大","新潟県","1987年2月1日","1987-02-01","190cm",190,"80kg",80,"日本",9341,"SF"
"191","B1","西地区","京都","岸田 篤生","ポジション / PG","大阪体育大学","鳥取県","1997年10月28日","1997-10-28","175cm",175,"73kg",73,"日本",18461,"PG"
"192","B1","西地区","京都","ジュリアン・マブンガ","ポジション / PF","マイアミ大学","ジンバブエ","1990年1月24日","1990-01-24","203cm",203,"116kg",116,"ジンバブエ",8709,"PF"
"193","B1","西地区","京都","内海 慎吾","ポジション / SG","東海大学","北海道","1984年4月28日","1984-04-28","188cm",188,"88kg",88,"日本",8459,"SG"
"194","B1","西地区","京都","頓宮 裕人","ポジション / PF/C","東海大学","滋賀県","1994年1月19日","1994-01-19","198cm",198,"100kg",100,"日本",10262,"PF/C"
"195","B1","西地区","京都","デイヴィッド・サイモン","ポジション / C","パデュー大学","アメリカ","1982年8月9日","1982-08-09","208cm",208,"116kg",116,"アメリカ合衆国",18460,"C"
"196","B1","西地区","京都","片岡 大晴","ポジション / SG","白鴎大学","宮城県","1985年12月24日","1985-12-24","184cm",184,"80kg",80,"日本",8481,"SG"
"197","B1","西地区","福岡","遥 天翼","ポジション / SF","東海大学","中国","1988年10月6日","1988-10-06","194cm",194,"95kg",95,"見做し日本人",8642,"SF"
"198","B1","西地区","福岡","山下 泰弘","ポジション / PG","明治大学","福岡県","1986年5月19日","1986-05-19","187cm",187,"81kg",81,"日本",9310,"PG"
"199","B1","西地区","福岡","小林 大祐","ポジション / SG","慶應義塾大学","福岡県","1987年6月24日","1987-06-24","189cm",189,"88kg",88,"日本",9311,"SG"
"200","B1","西地区","福岡","薦田 拓也","ポジション / SF","福岡大学","福岡県","1987年7月15日","1987-07-15","190cm",190,"88kg",88,"日本",9313,"SF"
"201","B1","西地区","福岡","波多野 和也","ポジション / SF/PF","専修大学","ブラジル","1982年4月19日","1982-04-19","195cm",195,"95kg",95,"日本",9328,"SF/PF"
"202","B1","西地区","福岡","エリック・ジェイコブセン","ポジション / PF/C","アリゾナ州立大学","アメリカ","1994年6月2日","1994-06-02","208cm",208,"108kg",108,"アメリカ合衆国",12634,"PF/C"
"203","B1","西地区","福岡","津山 尚大","ポジション / PG","福岡大学附属大濠高校","沖縄県","1996年4月16日","1996-04-16","180cm",180,"79kg",79,"日本",8654,"PG"
"204","B1","西地区","福岡","青木 ブレイク","ポジション / PF/C","ニューヨーク市立大学シティカレッジ","アメリカ合衆国","1993年11月13日","1993-11-13","202cm",202,"95kg",95,"日本",10885,"PF/C"
"205","B1","西地区","福岡","ベンジャミン・ローソン","ポジション / C","ウェスタンケンタッキー大学","イギリス","1995年6月12日","1995-06-12","216cm",216,"104kg",104,"ジョージア",18442,"C"
"206","B1","西地区","福岡","石谷 聡","ポジション / PG","福岡大学","福岡県","1985年6月19日","1985-06-19","177cm",177,"73kg",73,"日本",9317,"PG"
"207","B1","西地区","福岡","城宝 匡史","ポジション / SG","大阪商業大学","北海道","1982年4月24日","1982-04-24","183cm",183,"83kg",83,"日本",8731,"SG"
"208","B1","西地区","福岡","デクスター・ピットマン","ポジション / C","テキサス大学","アメリカ合衆国","1988年3月2日","1988-03-02","211cm",211,"132kg",132,"アメリカ合衆国",10265,"C"
"209","B1","西地区","福岡","加納 誠也","ポジション / SF/PF","筑波大学","愛知県","1989年4月9日","1989-04-09","196cm",196,"95kg",95,"日本",9319,"SF/PF"
"210","B1","西地区","琉球","石崎 巧","ポジション / PG/SG","東海大学","福井県","1984年7月6日","1984-07-06","188cm",188,"87kg",87,"日本",8514,"PG/SG"
"211","B1","西地区","琉球","橋本 竜馬","ポジション / PG","青山学院大学","福岡県","1988年5月11日","1988-05-11","178cm",178,"81kg",81,"日本",8587,"PG"
"212","B1","西地区","琉球","並里 成","ポジション / PG","福岡第一高校","沖縄県","1989年8月7日","1989-08-07","172cm",172,"72kg",72,"日本",9489,"PG"
"213","B1","西地区","琉球","金城　茂之","ポジション / SG/SF","大東文化大学","沖縄県","1984年11月23日","1984-11-23","185cm",185,"80kg",80,"日本",8652,"SG/SF"
"214","B1","西地区","琉球","須田 侑太郎","ポジション / SG/SF","東海大学","北海道","1992年1月3日","1992-01-03","187cm",187,"87kg",87,"日本",8494,"SG/SF"
"215","B1","西地区","琉球","ジェフ・エアーズ","ポジション / PF","アリゾナ州立大学","アメリカ","1987年4月29日","1987-04-29","206cm",206,"109kg",109,"アメリカ合衆国",10886,"PF"
"216","B1","西地区","琉球","岸本 隆一","ポジション / PG/SG","大東文化大学","沖縄県","1990年5月17日","1990-05-17","176cm",176,"75kg",75,"日本",8655,"PG/SG"
"217","B1","西地区","琉球","寒竹 隼人","ポジション / SF/PF","拓殖大学","福岡県","1986年8月1日","1986-08-01","194cm",194,"85kg",85,"日本",8840,"SF/PF"
"218","B1","西地区","琉球","田代 直希","ポジション / SF","専修大学","千葉県","1993年6月24日","1993-06-24","188cm",188,"90kg",90,"日本",8656,"SF"
"219","B1","西地区","琉球","アイラ・ブラウン","ポジション / SF/PF","ゴンザガ大学","アメリカ","1982年8月3日","1982-08-03","193cm",193,"105kg",105,"帰化",8452,"SF/PF"
"220","B1","西地区","琉球","ジョシュ・スコット","ポジション / C","コロラド大学","アメリカ","1993年7月13日","1993-07-13","209cm",209,"111kg",111,"アメリカ合衆国",12631,"C"
"221","B1","西地区","琉球","古川 孝敏","ポジション / SF","東海大学","兵庫県","1987年10月20日","1987-10-20","190cm",190,"92kg",92,"日本",8500,"SF"
"222","B2","東地区","青森","會田 圭佑","ポジション / PG","明治大学","茨城県","1995年3月29日","1995-03-29","182cm",182,"82kg",82,"日本",10824,"PG"
"223","B2","東地区","青森","カレン・ルッソ","ポジション / SF/PF","カリフォルニア州立大学フレズノ校","アメリカ合衆国","1994年2月1日","1994-02-01","206cm",206,"108kg",108,"アメリカ合衆国",18400,"SF/PF"
"224","B2","東地区","青森","鮫島 和人","ポジション / PG","日本経済大学","鹿児島県","1992年11月7日","1992-11-07","171cm",171,"71kg",71,"日本",9396,"PG"
"225","B2","東地区","青森","佐野 太一","ポジション / PG/SG","日本大学","滋賀県","1993年11月29日","1993-11-29","177cm",177,"75kg",75,"日本",10874,"PG/SG"
"226","B2","東地区","青森","野里 惇貴","ポジション / SG","八戸学院大学","青森県","1994年10月3日","1994-10-03","180cm",180,"80kg",80,"日本",10299,"SG"
"227","B2","東地区","青森","菅 俊男","ポジション / SF","国士舘大学","東京都","1994年2月26日","1994-02-26","184cm",184,"86kg",86,"日本",8742,"SF"
"228","B2","東地区","青森","橋本 龍弥","ポジション / PG","八戸工業高等学校","青森県","1997年5月10日","1997-05-10","178cm",178,"74kg",74,"日本",9459,"PG"
"229","B2","東地区","青森","門馬 圭二郎","ポジション / SG/SF","日本大学","北海道","1994年11月15日","1994-11-15","185cm",185,"86kg",86,"日本",10877,"SG/SF"
"230","B2","東地区","青森","ユリアス・ユツィカス","ポジション / PF/C","クライペダ大学","リトアニア","1989年10月20日","1989-10-20","205cm",205,"115kg",115,"リトアニア",18401,"PF/C"
"231","B2","東地区","青森","臼井 弘樹","ポジション / PF","国士館大学","長野県","1996年1月11日","1996-01-11","193cm",193,"100kg",100,"日本",18170,"PF"
"232","B2","東地区","青森","船山 裕士","ポジション / PF","九州産業大学","奈良県","1992年7月13日","1992-07-13","190cm",190,"93kg",93,"日本",15797,"PF"
"233","B2","東地区","山形","中島 良史","ポジション / PG/SG","天理大学","高知県","1990年9月25日","1990-09-25","176cm",176,"78kg",78,"日本",8767,"PG/SG"
"234","B2","東地区","山形","高松 勇介","ポジション / PG","九州産業大学","福岡県","1991年1月30日","1991-01-30","168cm",168,"67kg",67,"日本",9269,"PG"
"235","B2","東地区","山形","岩田 涼太","ポジション / SG/SF","東海大学","神奈川県","1992年6月19日","1992-06-19","187cm",187,"87kg",87,"日本",10896,"SG/SF"
"236","B2","東地区","山形","古橋 広樹","ポジション / SG/SF","神奈川大学","静岡県","1992年1月4日","1992-01-04","185cm",185,"85kg",85,"日本",8669,"SG/SF"
"237","B2","東地区","山形","佐藤 正成","ポジション / SG/SF","東海大学","山形県","1991年7月23日","1991-07-23","187cm",187,"82kg",82,"日本",8620,"SG/SF"
"238","B2","東地区","山形","秋山 熙","ポジション / PG","専修大学","千葉県","1995年8月31日","1995-08-31","174cm",174,"77kg",77,"日本",15839,"PG"
"239","B2","東地区","山形","高濱 拓矢","ポジション / SG","東海大学九州","熊本県","1990年5月25日","1990-05-25","184cm",184,"80kg",80,"日本",9351,"SG"
"240","B2","東地区","山形","チュクゥディエベレ・マドゥアバム","ポジション / PF/C","イェシーバー大学","ナイジェリア","1991年3月19日","1991-03-19","206cm",206,"110kg",110,"ナイジェリア",9432,"PF/C"
"241","B2","東地区","山形","ウィル・ヘンリー","ポジション / SF/PF","ボウディン大学","アメリカ","1990年3月12日","1990-03-12","204cm",204,"93kg",93,"アメリカ合衆国",18176,"SF/PF"
"242","B2","東地区","山形","ブレット・ビスピン","ポジション / PF/C","シエナ大学","アメリカ","1993年9月17日","1993-09-17","204cm",204,"106kg",106,"アメリカ合衆国",18177,"PF/C"
"243","B2","東地区","山形","河野 誠司","ポジション / PG","関東学院大学","宮崎県","1989年8月14日","1989-08-14","172cm",172,"72kg",72,"日本",8606,"PG"
"244","B2","東地区","山形","伊澤 実孝","ポジション / SF/PF","明治大学","愛知県","1993年11月22日","1993-11-22","195cm",195,"99kg",99,"日本",8622,"SF/PF"
"245","B2","東地区","山形","赤土 裕典","ポジション / SF/PF","日本体育大学","岐阜県","1994年4月30日","1994-04-30","192cm",192,"99kg",99,"日本",10884,"SF/PF"
"246","B2","東地区","仙台","タイラー・ハリス","ポジション / PF","Auburn University","アメリカ","1993年9月1日","1993-09-01","206cm",206,"97kg",97,"アメリカ合衆国",18438,"PF"
"247","B2","東地区","仙台","ダニエル・ミラー","ポジション / C","ジョージア工科大学","アメリカ合衆国","1991年7月1日","1991-07-01","211cm",211,"122kg",122,"アメリカ合衆国",9392,"C"
"248","B2","東地区","仙台","新号 健","ポジション / PG","日本大学","東京都","1995年4月10日","1995-04-10","175cm",175,"73kg",73,"日本",15831,"PG"
"249","B2","東地区","仙台","澤邉 圭太","ポジション / SG","大阪学院大学","熊本県","1995年3月5日","1995-03-05","184cm",184,"85kg",85,"日本",10263,"SG"
"250","B2","東地区","仙台","月野 雅人","ポジション / PG","鹿屋体育大学","宮崎県","1988年12月1日","1988-12-01","178cm",178,"78kg",78,"日本",9268,"PG"
"251","B2","東地区","仙台","菅澤 紀行","ポジション / PF","鹿屋体育大学","茨城県","1987年2月3日","1987-02-03","192cm",192,"87kg",87,"日本",8469,"PF"
"252","B2","東地区","仙台","白戸 大聖","ポジション / SG","東海大学","静岡県","1995年5月25日","1995-05-25","182cm",182,"78kg",78,"日本",15832,"SG"
"253","B2","東地区","仙台","泉 秀岳","ポジション / SF","順天堂大学","埼玉県","1991年11月27日","1991-11-27","190cm",190,"91kg",91,"日本",9454,"SF"
"254","B2","東地区","仙台","宮本 滉希","ポジション / PF","明治大学","宮城県","1995年7月25日","1995-07-25","193cm",193,"95kg",95,"日本",15833,"PF"
"255","B2","東地区","仙台","安部 潤","ポジション / PG/SG","東海大学","島根県","1986年4月14日","1986-04-14","177cm",177,"72kg",72,"日本",8838,"PG/SG"
"256","B2","東地区","福島","徳川 慎之介","ポジション / SG","東海大学","佐賀県","1993年6月10日","1993-06-10","187cm",187,"86kg",86,"日本",8666,"SG"
"257","B2","東地区","福島","猪狩 渉","ポジション / PG","IMGアカデミー","福島県","1996年4月24日","1996-04-24","168cm",168,"72kg",72,"日本",9330,"PG"
"258","B2","東地区","福島","村上 慎也","ポジション / PG","九州共立大学","福岡県","1991年3月5日","1991-03-05","172cm",172,"64kg",64,"日本",8674,"PG"
"259","B2","東地区","福島","神原 裕司","ポジション / PG/SG","関西外国語大学","長崎県","1989年10月25日","1989-10-25","183cm",183,"76kg",76,"日本",9349,"PG/SG"
"260","B2","東地区","福島","川満 寿史","ポジション / SF","東海大学熊本キャンパス","沖縄県","1990年11月14日","1990-11-14","188cm",188,"80kg",80,"日本",8566,"SF"
"261","B2","東地区","福島","鈴木 大","ポジション / PG/SG","新潟経営大学","山形県","1990年9月12日","1990-09-12","183cm",183,"75kg",75,"日本",8671,"PG/SG"
"262","B2","東地区","福島","イバン・ラベネル","ポジション / PF","オハイオ州立大学","フロリダ州","1989年11月24日","1989-11-24","203cm",203,"118kg",118,"アメリカ合衆国",10823,"PF"
"263","B2","東地区","福島","武藤 修平","ポジション / PF","筑波大学","茨城県","1991年12月27日","1991-12-27","192cm",192,"90kg",90,"日本",8526,"PF"
"264","B2","東地区","福島","前田 陽介","ポジション / PF","関東学院大学","宮崎県","1989年7月18日","1989-07-18","188cm",188,"85kg",85,"日本",8605,"PF"
"265","B2","東地区","福島","クリス・ブレディ","ポジション / C","モンマス大学","ニューヨーク州","1995年9月15日","1995-09-15","208cm",208,"113kg",113,"アメリカ合衆国",18402,"C"
"266","B2","東地区","福島","安慶 大樹","ポジション / PF","福岡大学","鹿児島県","1992年6月18日","1992-06-18","191cm",191,"85kg",85,"日本",9410,"PF"
"267","B2","東地区","茨城","ジョシュ・デービス","ポジション / PF","サンディエゴ州立大学","アメリカ","1991年1月22日","1991-01-22","203cm",203,"97kg",97,"アメリカ合衆国",8844,"PF"
"268","B2","東地区","茨城","福澤 晃平","ポジション / PG/SG","関西大学","長野県","1993年4月2日","1993-04-02","176cm",176,"77kg",77,"日本",9044,"PG/SG"
"269","B2","東地区","茨城","友利 健哉","ポジション / PG","専修大学","沖縄県","1984年8月12日","1984-08-12","177cm",177,"75kg",75,"日本",8673,"PG"
"270","B2","東地区","茨城","須田 昂太郎","ポジション / SG/SF","白<U+9DD7>大学","北海道","1995年6月8日","1995-06-08","184cm",184,"79kg",79,"日本",15843,"SG/SF"
"271","B2","東地区","茨城","ジャーラ 志多斗","ポジション / C","浜松大学","セネガル","1990年7月15日","1990-07-15","210cm",210,"100kg",100,"日本",12635,"C"
"272","B2","東地区","茨城","髙橋 祐二","ポジション / PG","国士舘大学","千葉県","1991年5月6日","1991-05-06","183cm",183,"74kg",74,"日本",8621,"PG"
"273","B2","東地区","茨城","久保田 遼","ポジション / PF","早稲田大学","大分県","1989年12月11日","1989-12-11","198cm",198,"96kg",96,"日本",8682,"PF"
"274","B2","東地区","茨城","コナー・ラマート","ポジション / PF","テキサス大学","アメリカ","1994年8月31日","1994-08-31","206cm",206,"107kg",107,"アメリカ合衆国",9089,"PF"
"275","B2","東地区","茨城","平尾 充庸","ポジション / PG","天理大学","徳島県","1989年4月4日","1989-04-04","178cm",178,"74kg",74,"日本",8561,"PG"
"276","B2","東地区","茨城","眞庭 城聖","ポジション / SF","日本体育大学","福岡県","1986年5月27日","1986-05-27","193cm",193,"93kg",93,"日本",8604,"SF"
"277","B2","東地区","茨城","カール・バプティスト","ポジション / PF","デラウェア大学","アメリカ","1990年12月31日","1990-12-31","208cm",208,"118kg",118,"アメリカ合衆国",18378,"PF"
"278","B2","東地区","茨城","横尾 逹泰","ポジション / SG/SF","明治大学","愛知県","1985年2月28日","1985-02-28","186cm",186,"86kg",86,"日本",18151,"SG/SF"
"279","B2","東地区","群馬","小淵 雅","ポジション / PG/SG","専修大学","群馬県","1983年9月12日","1983-09-12","182cm",182,"80kg",80,"日本",8607,"PG/SG"
"280","B2","東地区","群馬","トーマス・ケネディ","ポジション / SF/PF","デトロイトメルシー大学","米国","1987年5月17日","1987-05-17","201cm",201,"95kg",95,"アメリカ合衆国",8608,"SF/PF"
"281","B2","東地区","群馬","佐竹 宥哉","ポジション / SF","東海大学九州","北海道","1995年6月20日","1995-06-20","188cm",188,"75kg",75,"日本",15856,"SF"
"282","B2","東地区","群馬","古牧 昌也","ポジション / SG","日本大学","千葉県","1993年6月19日","1993-06-19","186cm",186,"83kg",83,"日本",12500,"SG"
"283","B2","東地区","群馬","新川 敬大","ポジション / SG/SF","早稲田大学","群馬県","1995年5月3日","1995-05-03","185cm",185,"87kg",87,"日本",15824,"SG/SF"
"284","B2","東地区","群馬","藤原 隆充","ポジション / PG/SG","九州産業大学","福岡県","1978年7月16日","1978-07-16","183cm",183,"85kg",85,"日本",8609,"PG/SG"
"285","B2","東地区","群馬","佐藤 文哉","ポジション / PG/SG","仙台大学","宮城県","1990年7月4日","1990-07-04","170cm",170,"75kg",75,"日本",8480,"PG/SG"
"286","B2","東地区","群馬","嶋田 基志","ポジション / C","東海大学","愛知県","1987年5月7日","1987-05-07","197cm",197,"100kg",100,"日本",9054,"C"
