"RANK","PLAYER","TEAM","G","GS","MIN","MINPG","PPG","FGMPG","FGAPG","FG%","2FGMPG","2FGAPG","2FG%","3FGMPG","3FGAPG","3FG%","FTMPG","FTAPG","FT%","ORPG","DRPG","RPG","APG","TOPG","STPG","BSPG","BSRPG","FPG","FDPG","EFFPG","PLUSMINUS","POSITION"
1,"マイルズ・ヘソン","富山",22,8,629.9,28.6,22.9,7.0,15.6,"45.1%",4.6,8.9,"51.5%",2.5,6.7,"36.5%",6.3,7.5,"84.8%",1.4,4.3,5.7,3.2,3.9,1.8,0.7,0.6,2.4,6.2,23.9,-3.3,"SF/PF"
2,"ペリン・ビュフォード","島根",58,58,2051.2,35.4,22.5,8.1,17.1,"47.2%",6.8,13.5,"50.4%",1.3,3.6,"35.1%",5.1,6.5,"77.9%",1.2,8.3,9.5,7.9,3.1,1.5,0.9,0.6,2.2,5.8,31.6,7.8,"SF"
3,"ニック・ファジーカス","川崎",58,56,1823.5,31.4,20.8,8.0,15.5,"51.5%",6.6,12.1,"54.8%",1.4,3.4,"40.0%",3.4,4.1,"83.7%",2.0,8.0,9.9,4.5,3.2,1.0,0.2,0.3,1.6,3.7,26.8,5.5,"C"
4,"ダバンテ・ガードナー","三河",60,34,1871.3,31.2,20.8,7.5,14.8,"51.0%",6.4,11.1,"58.0%",1.1,3.7,"30.2%",4.6,5.4,"84.9%",1.8,6.5,8.3,3.6,2.0,0.9,0.4,0.4,2.1,4.8,26.1,0.6,"C/PF"
5,"トレイ・ジョーンズ","群馬",51,48,1435.0,28.1,20.3,6.9,12.9,"53.5%",5.8,10.2,"56.9%",1.1,2.7,"40.7%",5.3,6.0,"88.8%",0.5,3.6,4.1,4.8,2.9,0.9,0.4,0.5,2.5,6.2,23.9,2.6,"SF"
6,"ブライス・ジョンソン","富山",33,27,964.9,29.2,19.7,7.7,14.5,"53.1%",6.6,11.4,"58.4%",1.1,3.2,"34.3%",3.2,4.4,"72.2%",2.3,8.1,10.4,2.1,2.9,0.9,1.0,0.7,2.5,3.5,23.3,-6.4,"PF"
7,"河村 勇輝","横浜BC",52,50,1469.1,28.3,19.5,6.7,15.7,"42.3%",3.9,7.7,"50.5%",2.8,8.0,"34.4%",3.4,4.2,"80.8%",0.4,2.9,3.4,8.5,3.1,1.5,0.1,0.5,1.9,3.9,21.3,4.7,"PG"
8,"D.J・ニュービル","大阪",60,60,2001.6,33.4,19.4,6.5,13.5,"48.2%",3.8,6.4,"59.7%",2.7,7.1,"37.7%",3.7,5.0,"75.4%",0.6,3.5,4.2,5.5,2.5,1.4,0.1,0.5,2.2,5.2,22.3,-0.7,"PG/SG"
9,"コティ・クラーク","名古屋D",53,51,1575.2,29.7,19.3,7.2,14.3,"50.3%",4.6,8.1,"57.1%",2.6,6.2,"41.5%",2.3,2.9,"78.6%",1.6,5.2,6.9,4.5,2.3,1.2,0.3,0.4,2.3,2.7,22.0,8.6,"PF"
10,"コフィ・コーバーン","新潟",49,43,1581.1,32.3,19.0,7.9,13.9,"57.0%",7.9,13.9,"57.1%",0.0,0.0,"0.0%",3.1,5.1,"60.7%",4.9,7.4,12.3,1.9,2.4,0.7,0.8,0.7,2.0,4.9,26.4,-7.9,"C"
11,"カイル・オクイン","三遠",37,36,1192.6,32.2,18.8,7.2,13.6,"52.8%",6.2,10.4,"59.4%",1.0,3.2,"31.7%",3.4,4.4,"77.6%",2.4,9.0,11.5,4.0,2.8,0.8,2.0,0.9,2.7,4.0,27.0,-1.7,"C/PF"
12,"クインシー・ミラー","三河",28,21,834.8,29.8,18.6,7.0,12.8,"54.9%",5.1,7.9,"64.7%",1.9,4.9,"39.1%",2.6,3.2,"81.1%",2.0,6.7,8.8,1.5,1.9,1.0,0.8,0.4,1.9,3.0,23.0,1.5,"SF/PF"
13,"イヴァン・ブバ","滋賀",26,26,733.2,28.2,18.3,7.3,14.7,"49.3%",6.6,11.7,"56.3%",0.7,3.0,"22.8%",3.0,5.0,"60.3%",3.2,6.4,9.6,1.5,2.7,0.7,0.5,0.5,2.4,5.3,20.8,-0.8,"C"
14,"ジョシュ・ホーキンソン","信州",56,55,1906.7,34.0,18.2,6.6,12.6,"51.8%",5.1,8.2,"61.8%",1.5,4.5,"33.6%",3.6,4.4,"81.1%",1.8,7.5,9.3,2.8,1.2,0.8,1.4,0.3,1.7,4.2,26.6,2.3,"C/PF"
15,"ジョーダン・ハミルトン","滋賀",14,12,405.8,29.0,18.0,6.6,15.2,"43.7%",4.2,8.6,"49.2%",2.4,6.6,"36.6%",2.3,3.6,"64.0%",1.2,5.6,6.8,3.9,2.5,0.6,0.2,0.8,2.3,3.6,17.6,-8.9,""
16,"ブロック・モータム","北海道",57,54,1741.4,30.6,17.7,6.8,12.7,"53.7%",5.1,8.6,"59.1%",1.7,4.1,"42.3%",2.3,2.8,"82.0%",1.7,5.0,6.6,2.6,1.9,0.9,0.3,0.6,1.7,2.7,20.1,-4.1,"PF"
17,"ノヴァー・ガドソン","富山",28,25,772.8,27.6,17.6,6.5,13.4,"48.4%",5.4,9.5,"56.4%",1.1,3.9,"29.1%",3.5,4.1,"84.5%",1.2,4.3,5.5,3.5,2.6,0.9,0.3,0.9,2.0,3.3,18.0,-6.0,"SF"
18,"スタントン・キッド","秋田",60,60,1942.4,32.4,17.6,6.4,15.3,"42.0%",3.8,7.6,"49.5%",2.7,7.7,"34.6%",2.1,2.5,"82.7%",0.9,4.7,5.6,2.5,1.7,1.1,0.4,0.4,2.1,2.3,15.9,0.9,"SF"
19,"ライアン・ケリー","SR渋谷",52,41,1468.9,28.2,17.6,6.2,13.8,"44.7%",4.4,8.4,"52.6%",1.7,5.3,"32.1%",3.5,4.5,"79.0%",0.9,4.6,5.5,2.4,1.3,0.9,0.9,0.4,1.5,3.7,19.3,-0.9,"SF/PF"
20,"ジョシュア・スミス","富山",46,39,1212.4,26.4,17.5,7.1,9.7,"73.4%",7.1,9.6,"73.5%",0.0,0.0,"50.0%",3.3,5.5,"60.2%",3.9,5.7,9.5,2.2,2.2,0.9,0.5,0.2,2.5,5.0,25.8,-2.7,"C"
21,"ヤンテ・メイテン","三遠",12,12,322.9,26.9,17.4,6.1,12.6,"48.3%",4.9,9.1,"54.1%",1.2,3.5,"33.3%",4.1,5.6,"73.1%",3.2,5.9,9.1,1.8,1.8,1.1,1.6,0.8,2.7,4.5,22.0,4.2,"PF"
22,"デクアン・ジョーンズ","滋賀",24,10,628.4,26.2,17.2,6.1,12.7,"48.2%",4.0,7.1,"55.9%",2.2,5.6,"38.5%",2.8,4.0,"69.8%",1.3,4.3,5.7,2.7,2.0,1.0,0.4,0.5,2.3,3.3,17.5,-5.0,"SF/PF"
23,"ショーン・ロング","北海道",59,33,1531.8,26.0,17.2,6.6,10.5,"63.1%",6.5,10.0,"64.5%",0.2,0.5,"32.1%",3.8,5.8,"65.5%",3.9,5.1,9.0,1.6,1.9,0.8,0.8,0.3,2.2,4.7,23.7,-1.8,"C/PF"
24,"ジェロード・ユトフ","京都",60,60,1910.3,31.8,17.2,6.4,14.9,"43.1%",4.1,8.2,"49.8%",2.4,6.7,"35.0%",2.0,2.4,"83.3%",2.1,6.9,8.9,2.3,2.0,1.3,1.4,0.4,1.5,2.6,21.0,-2.4,"PF"
25,"ヴィック・ロー","千葉J",54,46,1515.0,28.1,17.1,6.5,13.2,"49.4%",4.9,8.8,"55.3%",1.6,4.4,"37.6%",2.3,3.3,"70.8%",2.2,5.9,8.1,3.0,1.4,1.0,0.4,0.3,2.2,3.1,21.2,8.1,"SF/PF"
26,"クリストファー・スミス","千葉J",56,20,1335.3,23.8,17.0,5.6,10.8,"51.7%",3.0,4.8,"61.3%",2.6,5.9,"43.8%",3.2,4.4,"74.2%",1.1,3.2,4.3,2.3,1.1,0.8,0.4,0.2,2.1,3.8,18.8,11.0,"SG/SF"
27,"ロスコ・アレン","新潟",33,26,931.0,28.2,16.9,5.8,12.5,"47.0%",4.3,8.4,"51.6%",1.5,4.1,"37.3%",3.7,4.9,"75.2%",1.7,5.4,7.1,3.3,1.8,0.6,0.5,0.7,1.5,4.6,21.0,-7.2,"SF/PF"
28,"ラショーン・トーマス","仙台",43,18,1072.4,24.9,16.9,6.3,12.7,"49.2%",5.7,11.2,"51.5%",0.5,1.6,"32.8%",3.8,5.4,"71.1%",2.1,5.4,7.5,3.2,2.9,1.7,0.8,0.4,3.1,4.9,20.3,-2.1,"C/PF"
29,"ドウェイン・エバンス","広島",55,50,1580.2,28.7,16.6,5.9,11.2,"52.4%",5.1,9.1,"56.4%",0.7,2.1,"35.0%",4.1,5.4,"75.3%",1.7,5.9,7.6,4.0,2.1,1.0,0.4,0.6,1.7,6.3,24.9,4.7,"SF/PF"
30,"ジャック・クーリー","琉球",58,58,1641.6,28.3,16.4,6.1,9.9,"62.1%",6.1,9.8,"62.5%",0.0,0.1,"28.6%",4.1,5.2,"78.0%",5.2,7.5,12.7,1.4,1.2,0.9,0.6,0.6,2.1,4.7,28.0,8.2,"C"
31,"ケビン・ジョーンズ","SR渋谷",58,37,1689.3,29.1,16.3,6.4,12.9,"49.9%",4.5,8.0,"56.6%",1.9,4.9,"38.9%",1.6,2.4,"64.3%",2.4,5.0,7.4,1.7,0.8,0.9,0.8,0.2,1.2,2.0,19.5,-1.1,"PF"
32,"シェック・ディアロ","京都",59,59,1732.4,29.4,16.3,6.9,10.9,"63.5%",6.8,10.6,"64.7%",0.1,0.3,"17.6%",2.4,3.5,"70.1%",3.1,7.0,10.1,1.5,2.2,0.6,0.5,0.5,2.8,4.0,22.5,-2.8,"C/PF"
33,"安藤 誓哉","島根",59,59,2085.0,35.3,16.1,5.6,13.4,"41.7%",2.4,4.9,"48.3%",3.2,8.5,"38.0%",1.6,1.9,"83.9%",0.5,2.0,2.4,3.5,1.3,0.6,0.0,0.3,1.8,2.3,13.4,8.0,"PG"
34,"チャールズ・ジャクソン","横浜BC",59,59,1708.6,29.0,15.9,6.5,9.5,"68.5%",6.5,9.4,"68.6%",0.0,0.0,"0.0%",2.9,5.9,"49.7%",4.2,6.5,10.7,1.5,1.5,1.1,0.7,0.7,2.6,4.8,23.8,5.1,"C"
35,"アイゼイア・ヒックス","三遠",50,41,1434.0,28.7,15.8,6.3,12.0,"52.7%",5.8,9.7,"59.7%",0.5,2.3,"23.3%",2.6,3.5,"73.4%",2.0,5.0,7.0,2.7,2.7,0.9,0.7,0.6,3.4,3.4,17.2,-0.6,"PF"
36,"アレン・ダーラム","琉球",59,15,1613.8,27.4,15.6,5.7,11.1,"51.6%",5.1,9.1,"56.0%",0.7,2.1,"32.2%",3.5,5.0,"70.1%",2.2,5.5,7.7,3.6,1.9,0.9,0.3,0.6,1.8,4.5,21.6,6.1,"PF"
37,"スコット・エサトン","名古屋D",55,47,1537.4,28.0,15.6,6.3,10.1,"62.3%",5.8,8.7,"66.3%",0.5,1.3,"36.5%",2.5,3.4,"72.0%",3.3,5.5,8.8,2.0,1.8,0.8,0.6,0.7,2.4,3.4,21.6,4.9,"C/PF"
38,"ケリー・ブラックシアー・ジュニア","広島",58,29,1491.8,25.7,15.4,5.3,10.3,"51.5%",3.9,6.9,"56.6%",1.4,3.3,"40.9%",3.5,4.2,"83.5%",2.5,5.5,8.0,3.6,1.8,1.1,0.5,0.3,3.0,4.5,22.4,5.4,"C/PF"
39,"ニック・ケイ","島根",60,56,1809.3,30.2,15.4,5.6,10.5,"53.5%",4.0,6.8,"58.3%",1.7,3.7,"44.6%",2.5,2.9,"88.4%",2.7,5.2,7.9,3.4,1.1,0.8,0.5,0.3,1.9,3.6,23.1,7.9,"C/PF"
40,"セバスチャン・サイズ","A東京",60,48,1657.2,27.6,15.1,5.6,10.7,"51.8%",5.3,10.0,"53.2%",0.2,0.7,"32.6%",3.8,5.0,"76.8%",3.2,6.0,9.1,1.4,1.6,1.2,1.2,0.4,2.1,4.1,21.7,7.6,"C/PF"
41,"チェハーレス・タプスコット","茨城",60,59,2066.4,34.4,15.1,5.7,13.1,"43.3%",4.6,9.6,"48.1%",1.1,3.5,"30.0%",2.7,3.8,"71.6%",1.7,5.7,7.4,5.3,2.2,1.4,0.6,0.6,2.2,3.8,20.0,0.8,"PF"
42,"富樫 勇樹","千葉J",60,59,1753.7,29.2,15.0,5.1,13.1,"39.0%",2.2,4.7,"47.0%",2.9,8.4,"34.6%",1.9,2.3,"82.5%",0.3,1.4,1.7,5.6,2.3,0.7,0.0,0.5,1.2,2.4,13.0,9.3,"PG"
43,"ジェームズ・マイケル・マカドゥ","SR渋谷",50,41,1298.5,26.0,15.0,6.0,10.2,"59.1%",6.0,10.0,"59.9%",0.0,0.2,"12.5%",2.9,5.1,"58.1%",2.6,5.9,8.5,2.1,1.6,1.5,0.5,0.4,1.9,4.3,21.7,-1.0,"C/PF"
44,"ジョン・ムーニー","千葉J",54,52,1608.9,29.8,14.5,5.9,10.2,"57.4%",5.4,8.7,"61.6%",0.5,1.5,"32.5%",2.3,3.2,"71.3%",3.9,8.3,12.2,2.4,0.8,1.1,0.9,0.3,2.0,2.7,25.4,9.6,"C/PF"
45,"アラン・ウィリアムズ","名古屋D",19,6,456.8,24.0,14.5,5.6,12.5,"44.7%",5.5,11.9,"45.8%",0.1,0.5,"20.0%",3.2,4.5,"70.9%",3.9,6.8,10.7,2.5,2.5,1.2,0.8,0.5,3.3,4.7,19.7,5.9,"C"
46,"ジャスティン・コブス","A東京",47,47,1228.9,26.1,14.3,5.2,11.2,"46.6%",4.2,8.7,"48.3%",1.0,2.5,"40.7%",2.9,3.7,"78.0%",0.4,1.6,2.0,4.5,1.7,0.7,0.0,0.5,1.3,4.5,15.7,6.0,"PG"
47,"ニック・メイヨ","広島",55,39,1438.8,26.2,14.2,5.2,9.7,"53.5%",3.7,6.3,"58.6%",1.5,3.4,"43.9%",2.3,2.7,"85.3%",1.2,4.0,5.2,2.6,1.3,0.6,0.5,0.3,1.8,2.2,16.9,3.2,"C/PF"
48,"ケヴェ・アルマ","新潟",59,47,1672.2,28.3,13.9,5.0,11.3,"44.2%",3.2,6.4,"50.9%",1.8,5.0,"35.7%",2.1,2.6,"80.3%",1.4,5.6,7.0,3.1,2.3,1.2,0.7,0.3,2.3,3.2,17.2,-6.1,"C/PF"
49,"ウェイン・マーシャル","信州",9,9,222.4,24.7,13.8,5.1,9.2,"55.4%",4.8,7.7,"62.3%",0.3,1.6,"21.4%",3.2,4.6,"70.7%",2.0,4.4,6.4,1.3,2.3,0.2,1.3,0.4,3.0,3.6,15.4,2.4,"C"
50,"ジョナサン・ウィリアムズ","FE名古屋",52,27,1426.4,27.4,13.6,5.7,10.2,"55.9%",5.5,9.3,"59.0%",0.2,0.8,"20.9%",2.1,3.3,"62.2%",3.2,5.7,9.0,1.8,2.4,0.7,0.8,0.4,2.2,3.7,18.9,-5.2,"C/PF"
51,"ネイサン・ブース","仙台",60,47,1707.7,28.5,13.6,5.2,11.3,"45.9%",3.3,6.3,"52.0%",1.9,5.0,"38.3%",1.3,1.6,"79.2%",2.0,4.6,6.6,2.4,1.5,0.9,0.7,0.2,2.4,1.6,15.1,-0.7,"C/PF"
52,"ジェレミー・ジョーンズ","FE名古屋",60,60,1851.6,30.9,13.5,4.7,10.9,"43.1%",2.8,5.2,"54.7%",1.9,5.7,"32.7%",2.3,3.0,"76.7%",1.7,4.0,5.8,2.2,1.6,2.2,0.6,0.3,2.4,3.2,16.2,-2.4,"SF/PF"
53,"デビン・オリバー","横浜BC",60,60,1738.3,29.0,13.4,5.4,11.0,"49.2%",4.3,8.1,"53.3%",1.1,2.9,"37.6%",1.6,2.3,"66.9%",1.8,7.4,9.2,3.8,1.7,1.5,0.4,0.7,2.1,2.1,19.6,3.0,"SF/PF"
54,"マシュー・ライト","京都",56,54,1670.1,29.8,13.4,4.7,11.9,"39.4%",2.3,5.7,"40.8%",2.3,6.1,"38.1%",1.7,1.9,"85.3%",0.5,2.4,2.9,4.7,2.3,1.1,0.1,0.3,2.5,2.1,11.6,-1.4,"PG/SG"
55,"岡田 侑大","信州",53,16,1376.9,26.0,13.3,4.8,11.8,"40.5%",3.4,6.7,"50.4%",1.4,5.1,"27.7%",2.3,2.9,"79.2%",0.3,1.9,2.2,3.9,2.4,0.8,0.1,0.5,1.9,3.6,11.5,1.3,"PG/SG"
56,"エリック・ジェイコブセン","茨城",59,59,1744.1,29.6,13.2,4.7,8.0,"58.6%",4.2,6.7,"62.5%",0.5,1.3,"38.2%",3.3,4.2,"80.0%",2.9,5.7,8.6,2.4,1.5,0.6,0.7,0.5,2.6,4.2,20.9,0.5,"C/PF"
57,"ショーン・オマラ","大阪",55,44,1338.6,24.3,13.1,5.7,10.3,"54.9%",5.6,10.1,"55.6%",0.0,0.2,"20.0%",1.7,2.9,"59.5%",2.8,5.1,7.9,1.8,2.1,0.6,0.6,0.5,2.6,3.2,16.1,2.6,"C"
58,"ジャスティン・バーレル","仙台",60,54,1637.6,27.3,13.0,4.9,8.6,"57.0%",4.8,8.0,"59.3%",0.1,0.6,"23.5%",3.1,5.4,"57.8%",1.7,6.9,8.6,3.3,2.3,0.6,0.6,0.3,2.0,5.8,21.3,-3.7,"C/PF"
59,"比江島 慎","宇都宮",54,52,1274.5,23.6,13.0,4.3,9.5,"44.9%",2.3,5.0,"46.3%",1.9,4.5,"43.4%",2.5,3.4,"73.1%",0.6,1.9,2.4,4.2,2.0,0.8,0.4,0.5,1.9,4.4,14.7,5.0,"SG"
60,"アイザック・フォトゥ","宇都宮",58,57,1557.2,26.8,12.9,5.7,10.3,"54.9%",5.4,9.7,"56.1%",0.2,0.6,"36.1%",1.3,2.3,"58.8%",2.9,3.6,6.5,1.7,0.8,0.5,0.2,0.3,1.5,3.3,16.9,2.8,"PF"
61,"ケルヴィン・マーティン","滋賀",54,39,1460.3,27.0,12.8,5.3,11.0,"47.9%",4.4,8.1,"54.1%",0.9,2.9,"30.8%",1.3,2.0,"66.0%",2.0,4.9,6.9,1.9,1.7,1.6,0.6,0.3,3.5,2.4,14.1,-3.5,"SF/PF"
62,"マット・ジャニング","川崎",24,16,537.5,22.4,12.7,3.9,9.7,"40.5%",1.9,3.7,"51.1%",2.0,6.0,"34.0%",2.8,3.0,"91.8%",0.5,2.1,2.7,3.1,1.2,0.9,0.3,0.1,1.7,3.8,14.4,3.2,"SG"
63,"アレックス・マーフィー","北海道",30,19,701.3,23.4,12.6,4.8,10.1,"47.9%",4.0,6.8,"58.0%",0.9,3.3,"26.5%",2.1,3.9,"53.8%",0.9,3.7,4.6,2.4,1.1,0.6,0.2,0.7,1.5,2.9,12.9,-8.1,""
64,"マイケル・パーカー","群馬",56,56,1728.7,30.9,12.5,5.3,9.1,"58.6%",4.6,6.9,"67.2%",0.7,2.2,"31.7%",1.1,2.0,"54.5%",2.3,5.9,8.1,1.6,0.7,1.6,1.2,0.3,1.9,1.6,18.9,0.8,"PF"
65,"テーブス 海","滋賀",48,48,1453.2,30.3,12.4,4.6,12.3,"37.2%",3.1,7.3,"42.7%",1.5,5.0,"29.2%",1.8,2.5,"71.9%",0.5,3.2,3.7,6.9,2.9,0.9,0.0,0.5,1.5,2.9,13.5,-7.4,"PG"
66,"田口 成浩","秋田",22,0,419.7,19.1,12.3,4.4,9.5,"46.2%",2.1,4.1,"50.5%",2.3,5.4,"42.9%",1.2,1.3,"92.9%",0.8,1.1,2.0,1.5,1.2,0.4,0.1,0.3,1.5,1.2,9.3,0.0,"SG"
67,"古川 孝敏","秋田",45,43,1079.8,24.0,12.2,4.8,10.3,"46.5%",3.7,7.2,"51.9%",1.1,3.1,"34.3%",1.5,2.0,"76.7%",0.6,1.6,2.2,1.5,1.2,0.2,0.0,0.4,1.1,1.9,9.3,2.2,"SG/SF"
68,"マイケル・ヤングジュニア","川崎",55,34,1470.1,26.7,12.2,4.6,8.4,"54.3%",4.0,6.9,"58.2%",0.6,1.6,"37.2%",2.4,3.3,"72.5%",1.3,4.0,5.3,2.9,2.2,1.0,0.4,0.2,1.6,3.4,16.3,2.1,"PF"
69,"エヴァンス ルーク","FE名古屋",56,55,1738.6,31.0,12.1,4.7,10.6,"44.2%",3.4,6.7,"51.2%",1.3,3.9,"32.3%",1.5,2.5,"59.2%",1.8,4.5,6.3,2.3,1.7,1.1,0.5,0.7,2.8,2.7,12.8,-1.5,"PF"
70,"藤井 祐眞","川崎",60,57,1491.6,24.9,12.1,3.6,8.8,"40.6%",1.6,3.6,"44.6%",2.0,5.3,"38.0%",2.9,3.7,"78.7%",0.6,1.9,2.5,5.1,2.1,1.0,0.0,0.2,2.3,4.0,14.2,4.9,"PG/SG"
71,"ジョーダン・ヒース","川崎",55,50,1722.7,31.3,11.9,4.5,7.9,"57.5%",3.2,4.2,"77.4%",1.3,3.7,"35.0%",1.5,2.8,"55.2%",2.5,5.9,8.4,1.3,0.8,0.9,1.8,0.2,1.8,2.7,19.5,7.1,"C/PF"
72,"アンドリュー・ランダル","FE名古屋",49,32,1272.8,26.0,11.8,3.8,8.8,"42.7%",3.0,6.1,"49.3%",0.8,2.8,"28.1%",3.5,4.4,"79.3%",1.5,4.5,6.0,3.3,1.5,1.1,0.1,0.2,1.3,4.1,17.6,-0.9,"SF"
73,"安藤 周人","A東京",57,40,1423.0,25.0,11.8,3.9,9.9,"39.9%",1.6,3.3,"48.9%",2.4,6.6,"35.4%",1.6,2.0,"76.7%",0.2,1.4,1.7,2.4,1.2,0.6,0.2,0.1,1.6,1.8,9.1,5.9,"SG"
74,"ジョシュ・スコット","宇都宮",49,45,1431.9,29.2,11.7,4.4,8.7,"51.4%",4.4,8.6,"51.8%",0.0,0.1,"20.0%",2.8,4.3,"65.2%",2.8,7.2,10.0,1.8,1.1,0.7,0.7,0.6,1.7,4.6,20.4,0.8,"C/PF"
75,"スティーブン・グリーン","新潟",17,4,340.8,20.0,11.6,3.7,9.9,"37.5%",2.1,4.5,"46.8%",1.6,5.4,"29.7%",2.6,3.1,"84.6%",0.5,2.9,3.4,2.3,2.5,1.3,0.2,0.1,1.1,2.5,11.1,-10.8,""
76,"サーディ・ラベナ","三遠",60,37,1563.0,26.1,11.5,4.3,10.0,"43.4%",3.6,6.9,"51.9%",0.7,3.0,"23.8%",2.1,3.2,"67.7%",1.1,3.8,4.9,4.3,2.6,1.1,0.2,0.5,2.6,3.6,13.3,-1.2,"SG"
77,"西田 優大","三河",59,58,1663.4,28.2,11.3,4.3,9.1,"46.7%",2.9,5.5,"51.7%",1.4,3.6,"38.9%",1.4,2.1,"65.6%",0.6,1.7,2.2,2.8,1.6,0.9,0.3,0.6,1.5,2.4,10.6,-1.2,"SG/SF"
78,"今村 佳太","琉球",60,59,1596.9,26.6,11.3,4.1,10.7,"38.1%",2.2,5.1,"42.9%",1.9,5.6,"33.8%",1.2,1.5,"80.4%",0.5,1.9,2.5,3.6,1.7,1.1,0.2,0.4,1.6,1.6,9.6,7.0,"SG/SF"
79,"佐々木 隆成","三遠",39,32,1017.9,26.1,11.2,4.2,10.2,"41.5%",2.7,5.6,"49.3%",1.5,4.6,"32.0%",1.3,1.5,"83.3%",0.6,1.4,2.0,4.2,1.7,1.0,0.2,0.3,1.9,2.3,10.8,-2.8,"PG/SG"
80,"齋藤 拓実","名古屋D",46,37,1100.8,23.9,11.1,3.9,9.3,"41.5%",2.3,5.2,"43.9%",1.6,4.2,"38.5%",1.7,2.2,"79.8%",0.8,1.7,2.4,6.9,2.0,1.5,0.1,0.2,1.5,2.7,15.2,10.7,"PG"
81,"ケーレブ・ターズースキー","群馬",58,54,1431.4,24.7,11.1,4.5,7.0,"65.1%",4.5,7.0,"65.1%",0.0,0.0,"0.0%",2.0,2.6,"77.3%",2.3,5.1,7.4,1.8,1.3,0.5,0.5,0.2,3.0,2.7,16.3,1.3,"C"
82,"レイ・パークスジュニア","名古屋D",36,27,895.2,24.9,11.0,3.7,8.5,"43.6%",2.1,4.1,"51.7%",1.6,4.4,"36.1%",2.0,2.4,"83.7%",1.0,2.9,3.9,2.4,1.3,1.2,0.1,0.4,2.9,3.1,11.9,7.3,"SG"
83,"ナイジェル・スパイクス","富山",2,2,62.7,31.4,11.0,5.0,10.0,"50.0%",4.5,8.0,"56.3%",0.5,2.0,"25.0%",0.5,4.5,"11.1%",4.5,9.5,14.0,3.0,2.5,1.5,1.0,0.0,3.0,2.5,18.5,-5.5,""
84,"ジョシュ・ダンカン","琉球",60,47,1359.6,22.7,11.0,3.9,7.7,"50.9%",2.7,5.0,"53.2%",1.2,2.7,"46.5%",2.0,2.5,"79.2%",1.4,4.9,6.3,1.7,1.4,0.3,0.2,0.4,1.9,2.8,14.3,1.4,"PF"
